County,Contest,Party,Candidate,Votes,YesVotes,NoVotes,Percentage,ElectionDayVotes,MailInVotes,ProvisionalVotes
POTTER,Justice of the Supreme Court,DEM,"MCCAFFERY, DANIEL  D",1023,0,0,22.22,659,357,7
POTTER,Justice of the Supreme Court,REP,"CARLUCCIO, CAROLYN T.",3580,0,0,77.78,3334,245,1
POTTER,Judge of the Superior Court,DEM,"BECK, JILL L",1007,0,0,12.32,648,352,7
POTTER,Judge of the Superior Court,DEM,"LANE, TIMIKA",853,0,0,10.43,525,323,5
POTTER,Judge of the Superior Court,REP,"BATTISTA, MARIA C",3235,0,0,39.56,3001,233,1
POTTER,Judge of the Superior Court,REP,"SMAIL, HARRY F JR.",3082,0,0,37.69,2872,210,0
POTTER,Judge of the Superior Court (Retention),Retention,"PANELLA, JACK A",0,2140,1960,0.00,0,0,0
POTTER,Judge of the Superior Court (Retention),Retention,"STABILE, VICTOR P",0,2355,1610,0.00,0,0,0
POTTER,Judge of the Commonwealth Court,DEM,"WOLF, MATTHEW S",980,0,0,21.40,616,356,8
POTTER,Judge of the Commonwealth Court,REP,"MARTIN, MEGAN",3600,0,0,78.60,3357,243,0
