OFFICIAL ELECTION RESULTS
Bucks
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Bedminster Twp East","PRESIDENT OF THE UNITED STATES","Joseph R. Biden","1070","0.00%"
"Bedminster Twp East","PRESIDENT OF THE UNITED STATES","Donald J. Trump","1396","0.00%"
"Bedminster Twp East","PRESIDENT OF THE UNITED STATES","Jo Jorgensen","26","0.00%"
"Bedminster Twp East","PRESIDENT OF THE UNITED STATES","Write-in","4","0.00%"
"Bedminster Twp East","ATTORNEY GENERAL","Write-in","1","0.00%"
"Bedminster Twp East","ATTORNEY GENERAL","Josh Shapiro","992","0.00%"
"Bedminster Twp East","ATTORNEY GENERAL","Heather Heidelbaugh","1420","0.00%"
"Bedminster Twp East","ATTORNEY GENERAL","Richard L. Weiss","12","0.00%"
"Bedminster Twp East","ATTORNEY GENERAL","Daniel Wassmer","45","0.00%"
"Bedminster Twp East","AUDITOR GENERAL","Write-in","0","0.00%"
"Bedminster Twp East","AUDITOR GENERAL","Nina Ahmad","901","0.00%"
"Bedminster Twp East","AUDITOR GENERAL","Timothy DeFoor","1473","0.00%"
"Bedminster Twp East","AUDITOR GENERAL","Olivia Faison","15","0.00%"
"Bedminster Twp East","AUDITOR GENERAL","Jennifer Moore","67","0.00%"
"Bedminster Twp East","STATE TREASURER","Write-in","0","0.00%"
"Bedminster Twp East","STATE TREASURER","Joe Torsella","953","0.00%"
"Bedminster Twp East","STATE TREASURER","Stacy L. Garrity","1427","0.00%"
"Bedminster Twp East","STATE TREASURER","Timothy Runkle","17","0.00%"
"Bedminster Twp East","STATE TREASURER","Joe Soloski","59","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS (PA-01)","Write-in","5","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS (PA-01)","Christina Finello","848","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS (PA-01)","Brian Fitzpatrick","1625","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Write-in","2","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Wendy Ullman","942","0.00%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Shelby Labs","1523","0.00%"
"Bedminster Twp West","PRESIDENT OF THE UNITED STATES","Joseph R. Biden","1111","0.00%"
"Bedminster Twp West","PRESIDENT OF THE UNITED STATES","Donald J. Trump","1290","0.00%"
"Bedminster Twp West","PRESIDENT OF THE UNITED STATES","Jo Jorgensen","33","0.00%"
"Bedminster Twp West","PRESIDENT OF THE UNITED STATES","Write-in","5","0.00%"
"Bedminster Twp West","ATTORNEY GENERAL","Write-in","1","0.00%"
"Bedminster Twp West","ATTORNEY GENERAL","Josh Shapiro","1061","0.00%"
"Bedminster Twp West","ATTORNEY GENERAL","Heather Heidelbaugh","1293","0.00%"
"Bedminster Twp West","ATTORNEY GENERAL","Richard L. Weiss","17","0.00%"
"Bedminster Twp West","ATTORNEY GENERAL","Daniel Wassmer","42","0.00%"
"Bedminster Twp West","AUDITOR GENERAL","Write-in","1","0.00%"
"Bedminster Twp West","AUDITOR GENERAL","Nina Ahmad","950","0.00%"
"Bedminster Twp West","AUDITOR GENERAL","Timothy DeFoor","1382","0.00%"
"Bedminster Twp West","AUDITOR GENERAL","Olivia Faison","17","0.00%"
"Bedminster Twp West","AUDITOR GENERAL","Jennifer Moore","57","0.00%"
"Bedminster Twp West","STATE TREASURER","Write-in","1","0.00%"
"Bedminster Twp West","STATE TREASURER","Joe Torsella","988","0.00%"
"Bedminster Twp West","STATE TREASURER","Stacy L. Garrity","1332","0.00%"
"Bedminster Twp West","STATE TREASURER","Timothy Runkle","20","0.00%"
"Bedminster Twp West","STATE TREASURER","Joe Soloski","70","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN CONGRESS (PA-01)","Write-in","3","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN CONGRESS (PA-01)","Christina Finello","875","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN CONGRESS (PA-01)","Brian Fitzpatrick","1546","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Write-in","1","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Wendy Ullman","979","0.00%"
"Bedminster Twp West","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143rd","Shelby Labs","1437","0.00%"
"Bensalem Twp Lower East #1","PRESIDENT OF THE UNITED STATES","Joseph R. Biden","887","0.00%"
"Bensalem Twp Lower East #1","PRESIDENT OF THE UNITED STATES","Donald J. Trump","694","0.00%"
"Bensalem Twp Lower East #1","PRESIDENT OF THE UNITED STATES","Jo Jorgensen","17","0.00%"
"Bensalem Twp Lower East #1","PRESIDENT OF THE UNITED STATES","Write-in","3","0.00%"
"Bensalem Twp Lower East #1","ATTORNEY GENERAL","Write-in","1","0.00%"
"Bensalem Twp Lower East #1","ATTORNEY GENERAL","Josh Shapiro","877","0.00%"
"Bensalem Twp Lower East #1","ATTORNEY GENERAL","Heather Heidelbaugh","674","0.00%"
"Bensalem Twp Lower East #1","ATTORNEY GENERAL","Richard L. Weiss","7","0.00%"
