Official Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"Total Precincts Reported","158"
"DEM Governor","JOSH SHAPIRO","DEM","14778","18041","189","33008","158","158","51408","0","1"
"DEM Lieutenant Governor","AUSTIN DAVIS","DEM","14435","17181","167","31783","158","158","51408","0","1"
"Representative in Congress in the 7th Congressional Dist","CAROL OBANDO DERSTINE","DEM","3292","4050","53","7395","158","158","51408","0","1"
"Representative in Congress in the 7th Congressional Dist","BOB BROOKS","DEM","4998","7924","70","12992","158","158","51408","0","1"
"Representative in Congress in the 7th Congressional Dist","LAMONT G MCCLURE","DEM","1783","2237","22","4042","158","158","51408","0","1"
"Representative in Congress in the 7th Congressional Dist","RYAN CROSSWELL","DEM","4754","4225","47","9026","158","158","51408","0","1"
"Senator In the General Assembly in the 14th Senatorial D","NICK MILLER","DEM","6159","8283","90","14532","89","89","21234","0","1"
"Senator in the General Assembly in the 16th Senatorial D","MARK PINSLEY","DEM","5675","5744","56","11475","57","57","26940","0","1"
"Senator in the General Assembly in the 16th Senatorial D","BRADLEY MERKL GUMP","DEM","1916","2314","23","4253","57","57","26940","0","1"
"Senator in the General Assembly in the 18th Senatorial D","LISA BOSCOLA","DEM","906","1449","8","2363","12","12","3234","0","1"
"Representative in the General Assembly in the 22nd Legis","CE CE GERLACH","DEM","599","1093","11","1703","25","25","3878","0","1"
"Representative in the General Assembly in the 22nd Legis","ANA TIBURCIO","DEM","415","874","12","1301","25","25","3878","0","1"
"Representative in the General Assembly in the 131st Legi","MERIAM SABIH","DEM","1909","1824","23","3756","11","11","6608","0","1"
"Representative in the General Assembly in the 132nd Legi","MIKE SCHLOSSBERG","DEM","3367","3697","45","7109","26","26","10524","0","1"
"Representative in the General Assembly in the 133rd Legi","JEANNE MCNEILL","DEM","2620","3575","20","6215","33","33","9164","0","1"
"Representative in the General Assembly in the 134th Legi","PETER SCHWEYER","DEM","1867","2741","26","4634","30","30","6652","0","1"
"Representative in the General Assembly in the 183rd Legi","DEIRDRE KAMBER TODD","DEM","827","817","2","1646","10","10","3498","0","1"
"Representative in the General Assembly in the 187th Legi","GEOFFREY S WHITCOMB","DEM","1046","893","8","1947","23","23","11084","0","1"
"Representative in the General Assembly in the 187th Legi","RACHEL CUEVAS","DEM","1895","2266","20","4181","23","23","11084","0","1"
"Member of the Democratic State Committee","DANIELLE SHACKELFORD","DEM","8413","10138","120","18671","158","158","51408","0","7"
"Member of the Democratic State Committee","AIDAN LEVINSON","DEM","8298","8246","87","16631","158","158","51408","0","7"
"Member of the Democratic State Committee","APRIL RIDDICK","DEM","7098","9146","88","16332","158","158","51408","0","7"
"Member of the Democratic State Committee","CARMEN BELL","DEM","6277","7950","87","14314","158","158","51408","0","7"
"Member of the Democratic State Committee","CELESTE DEE","DEM","6020","7421","76","13517","158","158","51408","0","7"
"Member of the Democratic State Committee","GABRIELLE KLOTZ","DEM","6825","7434","64","14323","158","158","51408","0","7"
"Member of the Democratic State Committee","SARINA TORRES","DEM","5056","7506","79","12641","158","158","51408","0","7"
"Member of the Democratic State Committee","JULIAN GURIDY","DEM","8502","9786","89","18377","158","158","51408","0","7"
"Member of the Democratic State Committee","SUNNY GHAI","DEM","7248","7915","79","15242","158","158","51408","0","7"
"Member of the Democratic State Committee","LORI MCFARLAND","DEM","6200","6142","63","12405","158","158","51408","0","7"
"Member of the Democratic State Committee","BEN STEMRICH","DEM","8618","9292","87","17997","158","158","51408","0","7"
"Member of the Democratic State Committee","KATHLEEN PARSONS","DEM","6419","6955","68","13442","158","158","51408","0","7"
"DEM Member of the County Committee Allentown 3rd Ward","RYAN CROSSWELL","DEM","36","89","0","125","1","1","165","0","2"
"DEM Member of the County Committee Allentown 4th Ward","MICHAEL W BAKER","DEM","22","36","0","58","1","1","75","0","2"
"DEM Member of the County Committee Allentown 6th Ward 1s","JAMES T SPANG JR","DEM","7","27","0","34","1","1","54","0","2"
"DEM Member of the County Committee Allentown 6th Ward 1s","RANDY A STAUDT","DEM","9","17","0","26","1","1","54","0","2"
"DEM Member of the County Committee Allentown 7th Ward","JOHN SANTANA","DEM","30","66","1","97","1","1","128","0","2"
"DEM Member of the County Committee Allentown 8th Ward 1s","TIFFANY POLEK","DEM","11","14","1","26","1","1","62","0","2"
"DEM Member of the County Committee Allentown 8th Ward 1s","CE CE GERLACH","DEM","14","25","1","40","1","1","62","0","2"
"DEM Member of the County Committee Allentown 8th Ward 2n","THERESA NOA","DEM","24","39","0","63","1","1","79","0","2"
"DEM Member of the County Committee Allentown 8th Ward 5t","JUAN DELEON","DEM","15","30","0","45","1","1","84","0","2"
"DEM Member of the County Committee Allentown 8th Ward 5t","CLAUDIA PARRALES DELEON","DEM","18","33","0","51","1","1","84","0","2"
"DEM Member of the County Committee Allentown 9th Ward","SONIA S DAVIS","DEM","26","70","0","96","1","1","115","0","2"
"DEM Member of the County Committee Allentown 10th Ward 1","NORBERTO E DOMINGUEZ JR","DEM","17","73","1","91","1","1","122","0","2"
"DEM Member of the County Committee Allentown 10th Ward 4","YVONNE ALLENDE","DEM","26","39","0","65","1","1","89","0","2"
"DEM Member of the County Committee Allentown 11th Ward 3","ANDRENE BROWN NOWELL","DEM","17","41","0","58","1","1","119","0","2"
"DEM Member of the County Committee Allentown 11th Ward 3","JEREMY BINDER","DEM","19","42","0","61","1","1","119","0","2"
"DEM Member of the County Committee Allentown 11th Ward 4","REGINA PADILLA","DEM","92","66","3","161","1","1","215","0","2"
"DEM Member of the County Committee Allentown 11th Ward 7","BARBARA L MILLER","DEM","46","83","0","129","1","1","205","0","2"
"DEM Member of the County Committee Allentown 11th Ward 7","BEN STEMRICH","DEM","45","66","0","111","1","1","205","0","2"
"DEM Member of the County Committee Allentown 12th Ward 1","APRIL RIDDICK","DEM","56","44","0","100","1","1","141","0","2"
"DEM Member of the County Committee Allentown 12th Ward 3","ABBEY WILLIAMS","DEM","56","77","1","134","1","1","194","0","2"
"DEM Member of the County Committee Allentown 12th Ward 4","DAVID HARRINGTON","DEM","87","63","0","150","1","1","244","0","2"
"DEM Member of the County Committee Allentown 12th Ward 4","CLARISSE HARRINGTON","DEM","85","67","0","152","1","1","244","0","2"
"DEM Member of the County Committee Allentown 13th Ward 1","SCOTT MICHAEL ABRAHAM","DEM","17","45","0","62","1","1","149","0","2"
"DEM Member of the County Committee Allentown 13th Ward 1","MATT TUERK","DEM","33","62","2","97","1","1","149","0","2"
"DEM Member of the County Committee Allentown 13th Ward 2","CRYSTAL STERNER","DEM","30","51","0","81","1","1","118","0","2"
"DEM Member of the County Committee Allentown 13th Ward 4","NANCY WILT","DEM","12","54","1","67","1","1","116","0","2"
"DEM Member of the County Committee Allentown 13th Ward 4","RICHARD BUTTON","DEM","9","32","1","42","1","1","116","0","2"
"DEM Member of the County Committee Allentown 14th Ward 1","CERETA JOHNSON","DEM","40","108","2","150","1","1","205","0","2"
