Official Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"DEM Member of the County Committee Allentown 15th Ward 3","AMANDA M HERNANDEZ","DEM","82","113","3","198","1","1","273","0","2"
"DEM Member of the County Committee Allentown 15th Ward 4","EVETTE D'AMORE","DEM","46","56","0","102","1","1","145","0","2"
"DEM Member of the County Committee Allentown 16th Ward 1","SHEILA ALVARADO","DEM","61","73","2","136","1","1","187","0","2"
"DEM Member of the County Committee Allentown 17th Ward 1","SARINA TORRES","DEM","32","61","0","93","1","1","226","0","2"
"DEM Member of the County Committee Allentown 17th Ward 1","KYLE ROPSKI","DEM","34","31","0","65","1","1","226","0","2"
"DEM Member of the County Committee Allentown 17th Ward 1","DANIELLE SHACKELFORD","DEM","50","60","0","110","1","1","226","0","2"
"DEM Member of the County Committee Allentown 17th Ward 2","NICHOLAS MILLER","DEM","77","119","2","198","1","1","280","0","2"
"DEM Member of the County Committee Allentown 17th Ward 3","SANTO NAPOLI","DEM","99","117","0","216","1","1","312","0","2"
"DEM Member of the County Committee Allentown 17th Ward 4","DEBORA ROBERSON","DEM","270","241","3","514","1","1","744","0","2"
"DEM Member of the County Committee Allentown 18th Ward 1","CARMEN BELL","DEM","28","94","0","122","1","1","271","0","2"
"DEM Member of the County Committee Allentown 18th Ward 1","NATALIE SANTOS","DEM","29","100","0","129","1","1","271","0","2"
"DEM Member of the County Committee Allentown 18th Ward 1","MARK SMITH","DEM","36","52","0","88","1","1","271","0","2"
"DEM Member of the County Committee Allentown 19th Ward 6","ANDREA KELLAM","DEM","109","80","1","190","1","1","282","0","2"
"DEM Member of the County Committee Bethlehem 12th Ward 1","LUCAS WOLK","DEM","32","116","1","149","1","1","190","0","2"
"DEM Member of the County Committee Bethlehem 12th Ward 2","BROOKE S MCDERMOTT","DEM","52","141","0","193","1","1","271","0","2"
"DEM Member of the County Committee Bethlehem 12th Ward 2","JEFFREY J HAMILTON","DEM","49","97","0","146","1","1","271","0","2"
"DEM Member of the County Committee Bethlehem 13th Ward 2","MARK D MOSS","DEM","60","99","0","159","1","1","282","0","2"
"DEM Member of the County Committee Bethlehem 13th Ward 2","ANNE HILLS","DEM","58","120","0","178","1","1","282","0","2"
"DEM Member of the County Committee Bethlehem 13th Ward 4","JANE BERGER","DEM","98","142","1","241","1","1","397","0","2"
"DEM Member of the County Committee Bethlehem 13th Ward 4","JOHN D LYCHAK","DEM","81","124","0","205","1","1","397","0","2"
"DEM Member of the County Committee Bethlehem 13th Ward 6","ADELE YOUWAKIM","DEM","57","94","0","151","1","1","236","0","2"
"DEM Member of the County Committee Alburtis","STEPHEN NEMETH","DEM","50","81","0","131","1","1","355","0","2"
"DEM Member of the County Committee Alburtis","FREDA RAFES","DEM","36","50","0","86","1","1","355","0","2"
"DEM Member of the County Committee Alburtis","KATHLEEN PALMER","DEM","57","105","0","162","1","1","355","0","2"
"DEM Member of the County Committee Catasauqua 3rd Distri","MARYELLEN ALCALDE","DEM","83","81","0","164","1","1","291","0","2"
"DEM Member of the County Committee Coopersburg","DEBRA CRAIG","DEM","81","172","1","254","1","1","479","0","2"
"DEM Member of the County Committee Coopersburg","SHELLEY SORENSEN BAUDER","DEM","85","163","1","249","1","1","479","0","2"
"DEM Member of the County Committee Coplay 2nd District","CYNTHIA LEINER","DEM","50","100","0","150","1","1","303","0","2"
"DEM Member of the County Committee Coplay 2nd District","BILL LEINER JR","DEM","59","97","0","156","1","1","303","0","2"
"DEM Member of the County Committee Emmaus 2nd District","CHARLES T RAMSEY","DEM","25","57","0","82","1","1","342","0","2"
"DEM Member of the County Committee Emmaus 2nd District","LORI RAMSEY","DEM","65","88","1","154","1","1","342","0","2"
"DEM Member of the County Committee Emmaus 2nd District","TERRI PURDY","DEM","56","75","2","133","1","1","342","0","2"
"DEM Member of the County Committee Emmaus 3rd District","GABRIELLE KLOTZ","DEM","82","94","1","177","1","1","482","0","2"
"DEM Member of the County Committee Emmaus 3rd District","CATHLEEN OCONNOR","DEM","90","78","0","168","1","1","482","0","2"
"DEM Member of the County Committee Emmaus 3rd District","KIMBERLY SCHMICK","DEM","79","67","1","147","1","1","482","0","2"
"DEM Member of the County Committee Emmaus 4th District","LUCY H MCLEOD","DEM","98","134","0","232","1","1","343","0","2"
"DEM Member of the County Committee Emmaus 5th District","ELIZABETH M DALMASO","DEM","38","84","0","122","1","1","213","0","2"
"DEM Member of the County Committee Emmaus 6th District","LOUISE DILLENSNYDER","DEM","119","176","0","295","1","1","441","0","2"
"DEM Member of the County Committee Fountain Hill 3rd Dis","ADAM SMULL","DEM","68","84","0","152","1","1","199","0","2"
"DEM Member of the County Committee Macungie","NANCY M HEARN","DEM","121","191","2","314","1","1","557","0","2"
"DEM Member of the County Committee Slatington 1st Distri","RYAN E MAYBERRY","DEM","21","35","0","56","1","1","99","0","2"
"DEM Member of the County Committee Lower Macungie 1st Di","SHARON FINNEGAN","DEM","173","155","2","330","1","1","606","0","2"
"DEM Member of the County Committee Lower Macungie 4th Di","JAMES SHACKELFORD","DEM","84","64","0","148","1","1","485","0","2"
"DEM Member of the County Committee Lower Macungie 4th Di","STEFANIE RAFES","DEM","134","118","1","253","1","1","485","0","2"
"DEM Member of the County Committee Lower Macungie 5th Di","GARY CAPRI","DEM","125","75","1","201","1","1","503","0","2"
"DEM Member of the County Committee Lower Macungie 5th Di","CATHERINE HAMSCHER","DEM","147","95","1","243","1","1","503","0","2"
"DEM Member of the County Committee Lower Macungie 6th Di","MURAT GUZEL","DEM","190","227","3","420","1","1","749","0","2"
"DEM Member of the County Committee Lower Macungie 7th Di","JONATHAN HADFIELD","DEM","98","95","3","196","1","1","468","0","2"
"DEM Member of the County Committee Lower Macungie 7th Di","JANET W WARREN","DEM","108","137","3","248","1","1","468","0","2"
"DEM Member of the County Committee Lower Macungie 10th D","SUSAN SOUERWINE","DEM","152","90","0","242","1","1","602","0","2"
"DEM Member of the County Committee Lower Macungie 10th D","LYNNE IACCARINO","DEM","113","69","0","182","1","1","602","0","2"
"DEM Member of the County Committee Lower Macungie 10th D","RONALD ROHLSEN JR","DEM","68","50","0","118","1","1","602","0","2"
"DEM Member of the County Committee Lower Milford","KATHERINE HARRINGTON","DEM","179","147","2","328","1","1","802","0","2"
"DEM Member of the County Committee Lower Milford","TIMOTHY SHELLY","DEM","144","124","1","269","1","1","802","0","2"
"DEM Member of the County Committee Lynn New Tripoli","KRISTIN KOLBERG","DEM","73","83","0","156","1","1","405","0","2"
"DEM Member of the County Committee North Whitehall 2nd D","KARL FOERSTER","DEM","102","97","1","200","1","1","547","0","2"
"DEM Member of the County Committee North Whitehall 2nd D","EDWARD J PULLIN","DEM","93","95","0","188","1","1","547","0","2"
"DEM Member of the County Committee North Whitehall 4th D","PATRICIA R SOTTOLANO","DEM","94","120","0","214","1","1","424","0","2"
"DEM Member of the County Committee Salisbury 1st Ward","JOHN EBERHARD","DEM","82","116","1","199","1","1","392","0","2"
"DEM Member of the County Committee Salisbury 1st Ward","EDWARD DEL VISCIO","DEM","64","84","2","150","1","1","392","0","2"
"DEM Member of the County Committee Salisbury 3rd Ward 1s","PAMELA BRIODY","DEM","70","61","2","133","1","1","228","0","2"
"DEM Member of the County Committee Salisbury 5th Ward 2n","JEREMY WARMKESSEL","DEM","86","80","0","166","1","1","350","0","2"
"DEM Member of the County Committee Salisbury 5th Ward 2n","JOSEPH J MCDERMOTT","DEM","93","74","0","167","1","1","350","0","2"
"DEM Member of the County Committee South Whitehall 1st D","TIMOTHY JANY","DEM","136","182","7","325","1","1","550","0","2"
"DEM Member of the County Committee South Whitehall 2nd D","DAVID D DUGAN","DEM","67","59","0","126","1","1","219","0","2"
"DEM Member of the County Committee South Whitehall 3rd D","ALLISON HOWELLS WYLDE","DEM","202","196","0","398","1","1","640","0","2"
"DEM Member of the County Committee South Whitehall 4th D","STEPHEN E ZIMINSKY","DEM","92","99","2","193","1","1","314","0","2"
"DEM Member of the County Committee South Whitehall 5th D","ALYSSA ELLOWITCH","DEM","293","174","3","470","1","1","728","0","2"
"DEM Member of the County Committee South Whitehall 6th D","STUART HOROWITZ","DEM","77","88","2","167","1","1","609","0","2"
"DEM Member of the County Committee South Whitehall 6th D","DAVID FOLLWEILER","DEM","48","56","1","105","1","1","609","0","2"
"DEM Member of the County Committee South Whitehall 6th D","DENNILLE SCHULER","DEM","61","118","1","180","1","1","609","0","2"
"DEM Member of the County Committee South Whitehall 6th D","LUCY C HORTON","DEM","106","159","2","267","1","1","609","0","2"
"DEM Member of the County Committee South Whitehall 7th D","MIKE SCHLOSSBERG","DEM","91","97","1","189","1","1","292","0","2"
"DEM Member of the County Committee South Whitehall 7th D","DANIEL BUGLIO","DEM","63","52","1","116","1","1","292","0","2"
"DEM Member of the County Committee South Whitehall 8th D","JAMAL AHMED","DEM","71","86","1","158","1","1","746","0","2"
"DEM Member of the County Committee South Whitehall 8th D","JULIE THOMASES","DEM","192","149","2","343","1","1","746","0","2"
"DEM Member of the County Committee South Whitehall 8th D","DANIEL PORESKY","DEM","149","86","3","238","1","1","746","0","2"
"DEM Member of the County Committee Upper Macungie 2nd Di","SUSAN BARANEK","DEM","193","169","1","363","1","1","733","0","2"
"DEM Member of the County Committee Upper Macungie 2nd Di","LAURA OSWALD","DEM","184","162","2","348","1","1","733","0","2"
"DEM Member of the County Committee Upper Macungie 3rd Di","MELISSA SUNDAHL","DEM","129","139","1","269","1","1","493","0","2"
"DEM Member of the County Committee Upper Macungie 3rd Di","GREGORY DOYLE","DEM","107","83","1","191","1","1","493","0","2"
"DEM Member of the County Committee Upper Macungie 5th Di","KELLEY ROMAINE KENNEY","DEM","141","111","0","252","1","1","932","0","2"
"DEM Member of the County Committee Upper Macungie 5th Di","VINCENT LYNOTT","DEM","158","104","1","263","1","1","932","0","2"
"DEM Member of the County Committee Upper Macungie 5th Di","MARK EDWARD KENNEY","DEM","79","54","0","133","1","1","932","0","2"
"DEM Member of the County Committee Upper Macungie 5th Di","CARLA COLANGELO","DEM","221","161","1","383","1","1","932","0","2"
"DEM Member of the County Committee Upper Macungie 8th Di","MICHAEL A FRASSETTO","DEM","89","67","1","157","1","1","298","0","2"
"DEM Member of the County Committee Upper Milford East","ADELAIDE HIGGINS","DEM","235","167","1","403","1","1","1031","0","2"
"DEM Member of the County Committee Upper Milford East","LORI MCFARLAND","DEM","309","229","3","541","1","1","1031","0","2"
"DEM Member of the County Committee Upper Milford West","AIDAN LEVINSON","DEM","150","116","0","266","1","1","727","0","2"
"DEM Member of the County Committee Upper Milford West","JOYCE K MOORE","DEM","166","136","1","303","1","1","727","0","2"
"DEM Member of the County Committee Upper Saucon 1st Dist","CAROL OBANDO DERSTINE","DEM","214","179","1","394","1","1","745","0","2"
"DEM Member of the County Committee Upper Saucon 1st Dist","ROBERTA BARNES","DEM","197","149","1","347","1","1","745","0","2"
"DEM Member of the County Committee Upper Saucon 2nd Dist","CASANDRA SCULLY","DEM","90","95","1","186","1","1","440","0","2"
"DEM Member of the County Committee Upper Saucon 2nd Dist","PATRICIA B CARLIS","DEM","86","113","1","200","1","1","440","0","2"
"DEM Member of the County Committee Upper Saucon 4th Dist","EMILY GEHMAN","DEM","250","186","1","437","1","1","922","0","2"
"DEM Member of the County Committee Upper Saucon 4th Dist","MERIAM SABIH","DEM","261","245","3","509","1","1","922","0","2"
"DEM Member of the County Committee Upper Saucon 5th Dist","RONA L ARENA","DEM","100","77","3","180","1","1","401","0","2"
"DEM Member of the County Committee Upper Saucon 5th Dist","AMBER STERN","DEM","108","92","2","202","1","1","401","0","2"
"DEM Member of the County Committee Upper Saucon 6th Dist","MARK ALAN MILLER","DEM","76","70","0","146","1","1","410","0","2"
"DEM Member of the County Committee Upper Saucon 6th Dist","KATHLEEN PARSONS","DEM","118","129","0","247","1","1","410","0","2"
"DEM Member of the County Committee Washington South","DAVID ASTORINA","DEM","156","119","1","276","1","1","662","0","2"
"DEM Member of the County Committee Weisenberg","MARGIE ANN OHERN","DEM","197","175","0","372","1","1","969","0","2"
"DEM Member of the County Committee Weisenberg","ROBERT ELBICH","DEM","168","136","0","304","1","1","969","0","2"
"DEM Member of the County Committee Whitehall 4th Distric","CAROL WIKERD","DEM","70","99","0","169","1","1","259","0","2"
"DEM Member of the County Committee Whitehall 7th Distric","TAYLOR STAKES","DEM","196","128","3","327","1","1","630","0","2"
"DEM Member of the County Committee Whitehall 8th Distric","JEANNE MCNEILL","DEM","113","162","0","275","1","1","430","0","2"
"DEM Member of the County Committee Whitehall 10th Distri","JEFFREY J WARREN SR","DEM","113","105","1","219","1","1","503","0","2"
"DEM Member of the County Committee Whitehall 10th Distri","EDWARD D HOZZA JR","DEM","120","127","1","248","1","1","503","0","2"
"REP Governor","STACY GARRITY","REP","4306","11151","47","15504","158","158","51408","0","1"
"REP Lieutenant Governor","JOHN VENTRE","REP","1481","3548","16","5045","158","158","51408","0","1"
"REP Lieutenant Governor","JASON RICHEY","REP","2841","7474","32","10347","158","158","51408","0","1"
"Representative in Congress in the 7th Congressional Dist","RYAN MACKENZIE","REP","4417","11382","49","15848","158","158","51408","0","1"
"Senator In the General Assembly in the 14th Senatorial D","OMY MALDONADO","REP","1337","3401","13","4751","89","89","21234","0","1"
"Senator in the General Assembly in the 16th Senatorial D","JARRETT COLEMAN","REP","2837","7054","29","9920","57","57","26940","0","1"
"Senator in the General Assembly in the 18th Senatorial D","SCOTT JANNEY","REP","174","436","0","610","12","12","3234","0","1"
"Representative in the General Assembly in the 22nd Legis","ROBERT E SMITH JR","REP","182","529","2","713","25","25","3878","0","1"
"Representative in the General Assembly in the 131st Legi","MILOU MACKENZIE","REP","751","1653","6","2410","11","11","6608","0","1"
"Representative in the General Assembly in the 132nd Legi","CAREN LOWREY","REP","923","1789","10","2722","26","26","10524","0","1"
"Representative in the General Assembly in the 134th Legi","MIRIAM MALDONADO","REP","415","1081","3","1499","30","30","6652","0","1"
"Representative in the General Assembly in the 183rd Legi","ZACH MAKO","REP","397","1191","3","1591","10","10","3498","0","1"
"Representative in the General Assembly in the 187th Legi","GARY DAY","REP","1178","3108","12","4298","23","23","11084","0","1"
"Member of the Republican State Committee - At Large","JOE VICHOT","REP","3618","8793","32","12443","158","158","51408","0","4"
"Member of the Republican State Committee - At Large","LISA WALTER","REP","3293","7442","27","10762","158","158","51408","0","4"
"Member of the Republican State Committee - At Large","JEANNETTE WROBEL","REP","2359","5822","24","8205","158","158","51408","0","4"
"Member of the Republican State Committee - At Large","LINDA J SWANKOSKI","REP","2571","6299","23","8893","158","158","51408","0","4"
"Member of the Republican State Committee - At Large","BLAKE MARLES","REP","3817","8903","35","12755","158","158","51408","0","4"
"Member of the Republican State Committee - District 1","BOB DADAY","REP","1755","4340","12","6107","110","110","28110","0","2"
"Member of the Republican State Committee - District 1","JACQUELINE RIVERA","REP","1486","3554","11","5051","110","110","28110","0","2"
"Member of the Republican State Committee - District 2","BERNADETTE COMFORT","REP","2224","5047","22","7293","48","48","23298","0","2"
"Member of the Republican State Committee - District 2","RAYMOND P LEISTER","REP","2206","5274","24","7504","48","48","23298","0","2"
"REP Member of the County Committee Allentown 5th Ward","JONATHAN MCQUAY","REP","2","5","0","7","1","1","97","0","2"
"REP Member of the County Committee Allentown 9th Ward","JOSEPH P MAHER","REP","1","7","1","9","1","1","115","0","2"
"REP Member of the County Committee Allentown 11th Ward 3","SCOTT ARMSTRONG","REP","2","14","0","16","1","1","119","0","2"
"REP Member of the County Committee Allentown 11th Ward 5","JOE FACCHIANO","REP","5","31","0","36","1","1","171","0","2"
"REP Member of the County Committee Allentown 11th Ward 6","TOM HOUCK","REP","20","45","0","65","1","1","291","0","2"
"REP Member of the County Committee Allentown 13th Ward 3","EDWARD E HARTMAN JR","REP","5","20","0","25","1","1","148","0","2"
"REP Member of the County Committee Allentown 15th Ward 1","ROBERT E SMITH JR","REP","7","27","0","34","1","1","201","0","2"
"REP Member of the County Committee Allentown 15th Ward 1","EVA L SMITH","REP","6","17","0","23","1","1","201","0","2"
"REP Member of the County Committee Allentown 17th Ward 3","ISABEL SUZANNE DURAN","REP","21","28","0","49","1","1","312","0","2"
"REP Member of the County Committee Allentown 17th Ward 3","DIANNE L MICHELS","REP","27","25","0","52","1","1","312","0","2"
"REP Member of the County Committee Allentown 17th Ward 4","MIKE WELSH","REP","43","91","0","134","1","1","744","0","2"
"REP Member of the County Committee Allentown 17th Ward 4","BETH SPERO","REP","45","88","0","133","1","1","744","0","2"
"REP Member of the County Committee Bethlehem 10th Ward","ANN CASE","REP","8","24","0","32","1","1","277","0","2"
"REP Member of the County Committee Bethlehem 11th Ward","ANNAMARIE SNOW","REP","5","22","0","27","1","1","169","0","2"
"REP Member of the County Committee Bethlehem 11th Ward","MICHAEL O'HARE","REP","9","25","0","34","1","1","169","0","2"
"REP Member of the County Committee Bethlehem 12th Ward 2","NOURHAN SHARIF","REP","6","23","0","29","1","1","271","0","2"
"REP Member of the County Committee Bethlehem 13th Ward 2","JACQUELINE RIVERA","REP","16","39","0","55","1","1","282","0","2"
"REP Member of the County Committee Alburtis","JEANNETTE WROBEL","REP","20","77","0","97","1","1","355","0","2"
"REP Member of the County Committee Emmaus 2nd District","DEBRA R HOFFMAN","REP","17","67","0","84","1","1","342","0","2"
"REP Member of the County Committee Emmaus 2nd District","RANDALL KNEEDLER","REP","19","58","0","77","1","1","342","0","2"
"REP Member of the County Committee Emmaus 3rd District","JOHN F BELIN JR","REP","48","102","0","150","1","1","482","0","2"
"REP Member of the County Committee Fountain Hill 1st Dis","ROBERT W BIRK","REP","15","21","0","36","1","1","221","0","2"
"REP Member of the County Committee Macungie","MEGAN SELL","REP","31","70","0","101","1","1","557","0","2"
"REP Member of the County Committee Macungie","BILL REISS","REP","32","101","0","133","1","1","557","0","2"
"REP Member of the County Committee Macungie","BOB SELL JR","REP","15","64","0","79","1","1","557","0","2"
"REP Member of the County Committee Slatington 2nd Distri","ZACHARI HALKIAS","REP","13","26","0","39","1","1","101","0","2"
"REP Member of the County Committee Slatington 2nd Distri","BARBARA HALKIAS","REP","12","21","0","33","1","1","101","0","2"
"REP Member of the County Committee Heidelberg","TEENA BAILEY","REP","40","222","0","262","1","1","532","0","2"
"REP Member of the County Committee Lower Macungie 3rd Di","ANTHONY MESSINA","REP","32","61","2","95","1","1","562","0","2"
"REP Member of the County Committee Lower Macungie 3rd Di","ZACHARY M SOBECK","REP","25","68","2","95","1","1","562","0","2"
"REP Member of the County Committee Lower Macungie 3rd Di","CAROLE BANKO","REP","45","69","0","114","1","1","562","0","2"
"REP Member of the County Committee Lower Macungie 4th Di","ARLENE DABROW","REP","38","120","3","161","1","1","485","0","2"
"REP Member of the County Committee Lower Macungie 6th Di","JOHN HINKLE","REP","69","161","0","230","1","1","749","0","2"
"REP Member of the County Committee Lower Macungie 9th Di","MATTHEW MAZZETTI","REP","25","71","1","97","1","1","344","0","2"
"REP Member of the County Committee Lower Macungie 9th Di","MATTHEW S GUGLIELMELLO","REP","29","76","2","107","1","1","344","0","2"
"REP Member of the County Committee Lower Macungie 10th D","CHRISTOPHER J SPEDALIERE","REP","77","110","0","187","1","1","602","0","2"
"REP Member of the County Committee Lower Macungie 10th D","FRANK DUMBLETON","REP","84","103","0","187","1","1","602","0","2"
"REP Member of the County Committee Lower Milford","LANCE M TITTLE","REP","98","193","0","291","1","1","802","0","2"
"REP Member of the County Committee Lower Milford","ARLAND SCHANTZ","REP","97","236","0","333","1","1","802","0","2"
"REP Member of the County Committee Lowhill","CLAIRE F KUKIELKA","REP","43","135","2","180","1","1","408","0","2"
"REP Member of the County Committee Lynn New Tripoli","LESLIE SCHOENIGER","REP","23","158","0","181","1","1","405","0","2"
"REP Member of the County Committee Lynn New Tripoli","JOHN STEVEN SCHOENIGER","REP","21","154","0","175","1","1","405","0","2"
"REP Member of the County Committee Lynn Lynnville","PERRY LONG","REP","12","65","0","77","1","1","134","0","2"
"REP Member of the County Committee North Whitehall 1st D","JUDY PRIESTON","REP","38","68","0","106","1","1","688","0","2"
"REP Member of the County Committee North Whitehall 1st D","SHAWN R BORGER","REP","47","102","0","149","1","1","688","0","2"
"REP Member of the County Committee North Whitehall 1st D","HANNAH DOURIS","REP","39","112","0","151","1","1","688","0","2"
"REP Member of the County Committee North Whitehall 1st D","JIM PRIESTON","REP","41","92","0","133","1","1","688","0","2"
"REP Member of the County Committee North Whitehall 2nd D","DAVID HANUSCHAK","REP","68","188","0","256","1","1","547","0","2"
"REP Member of the County Committee North Whitehall 4th D","JEFFREY BARBER","REP","39","126","0","165","1","1","424","0","2"
