county,precinct,office,party,candidate,votes
Greene,Rices Landing Borough Voting Precinct,Dem Governor,Democrat,Josh Shapiro,41
Greene,Rices Landing Borough Voting Precinct,Rep Governor,Republican,Stacy Garrity,46
Greene,Rices Landing Borough Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,40
Greene,Rices Landing Borough Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,24
Greene,Rices Landing Borough Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,21
Greene,Rices Landing Borough Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,42
Greene,Rices Landing Borough Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,45
Greene,Rices Landing Borough Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,40
Greene,Rices Landing Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,32
Greene,Rices Landing Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,17
Greene,Rices Landing Borough Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,39
Greene,Rices Landing Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,17
Greene,Rices Landing Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,33
Greene,Rices Landing Borough Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,44
Greene,Rices Landing Borough Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,46
Greene,Waynesburg Borough #1 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,73
Greene,Waynesburg Borough #1 Voting Precinct,Rep Governor,Republican,Stacy Garrity,90
Greene,Waynesburg Borough #1 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,69
Greene,Waynesburg Borough #1 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,46
Greene,Waynesburg Borough #1 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,47
Greene,Waynesburg Borough #1 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,65
Greene,Waynesburg Borough #1 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,93
Greene,Waynesburg Borough #1 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,65
Greene,Waynesburg Borough #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,47
Greene,Waynesburg Borough #1 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,50
Greene,Waynesburg Borough #1 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,55
Greene,Waynesburg Borough #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,19
Greene,Waynesburg Borough #1 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,86
Greene,Waynesburg Borough #1 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,68
Greene,Waynesburg Borough #1 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,91
Greene,Waynesburg Borough #1 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 1 (Vote for 2),Republican,Carolyn H. Mcgrath,77
Greene,Waynesburg Borough #1 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 1 (Vote for 2),Republican,Tom Rohanna,88
Greene,Waynesburg Borough #2 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,51
Greene,Waynesburg Borough #2 Voting Precinct,Rep Governor,Republican,Stacy Garrity,45
Greene,Waynesburg Borough #2 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,48
Greene,Waynesburg Borough #2 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,16
Greene,Waynesburg Borough #2 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,31
Greene,Waynesburg Borough #2 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,45
Greene,Waynesburg Borough #2 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,50
Greene,Waynesburg Borough #2 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,44
Greene,Waynesburg Borough #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,26
Greene,Waynesburg Borough #2 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,28
Greene,Waynesburg Borough #2 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,43
Greene,Waynesburg Borough #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,26
Greene,Waynesburg Borough #2 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,31
Greene,Waynesburg Borough #2 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,46
Greene,Waynesburg Borough #2 Voting Precinct,Dem Member Of County Democratic Committee Waynesburg 2 (Vote for 2),Democrat,Richard Hunnell,46
Greene,Waynesburg Borough #2 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,44
Greene,Waynesburg Borough #2 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 2 (Vote for 2),Republican,Aaron A k Ketchem,38
Greene,Waynesburg Borough #2 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 2 (Vote for 2),Republican,Sherry L. Stoneking,35
Greene,Waynesburg Borough #2 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 2 (Vote for 2),Republican,Zebulun E. Mcnett,10
Greene,Waynesburg Borough #3 Voting Precinct,Dem Governor,Democrat,Josh Shapiro,56
Greene,Waynesburg Borough #3 Voting Precinct,Rep Governor,Republican,Stacy Garrity,70
Greene,Waynesburg Borough #3 Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,56
Greene,Waynesburg Borough #3 Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,28
Greene,Waynesburg Borough #3 Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,42
Greene,Waynesburg Borough #3 Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,49
Greene,Waynesburg Borough #3 Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,78
Greene,Waynesburg Borough #3 Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,50
Greene,Waynesburg Borough #3 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,43
Greene,Waynesburg Borough #3 Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,40
Greene,Waynesburg Borough #3 Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,47
Greene,Waynesburg Borough #3 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,25
Greene,Waynesburg Borough #3 Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,63
Greene,Waynesburg Borough #3 Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,50
Greene,Waynesburg Borough #3 Voting Precinct,Dem Member Of County Democratic Committee Waynesburg 3 (Vote for 2),Democrat,Christine Bailey,49
Greene,Waynesburg Borough #3 Voting Precinct,Dem Member Of County Democratic Committee Waynesburg 3 (Vote for 2),Democrat,Lynne W. Snyder,52
Greene,Waynesburg Borough #3 Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,74
Greene,Waynesburg Borough #3 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 3 (Vote for 2),Republican,Michael Simms,51
Greene,Waynesburg Borough #3 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 3 (Vote for 2),Republican,Teresa Simms,52
Greene,Waynesburg Borough #3 Voting Precinct,Rep Member Of Republican County Committee Waynesburg 3 (Vote for 2),Republican,"Mark S. Mccullough, Jr",41
Greene,Clarksville Borough Voting Precinct,Dem Governor,Democrat,Josh Shapiro,12
Greene,Clarksville Borough Voting Precinct,Rep Governor,Republican,Stacy Garrity,12
Greene,Clarksville Borough Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,11
Greene,Clarksville Borough Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,7
Greene,Clarksville Borough Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,4
Greene,Clarksville Borough Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,11
Greene,Clarksville Borough Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,11
Greene,Clarksville Borough Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,11
Greene,Clarksville Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,4
Greene,Clarksville Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,6
Greene,Clarksville Borough Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,10
Greene,Clarksville Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,9
Greene,Clarksville Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,2
Greene,Clarksville Borough Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,13
Greene,Clarksville Borough Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,10
Greene,Aleppo Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,23
Greene,Aleppo Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,47
Greene,Aleppo Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,22
Greene,Aleppo Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,21
Greene,Aleppo Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,24
Greene,Aleppo Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,21
Greene,Aleppo Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,46
Greene,Aleppo Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,20
Greene,Aleppo Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,30
Greene,Aleppo Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,23
Greene,Aleppo Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,19
Greene,Aleppo Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,26
Greene,Aleppo Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,28
Greene,Aleppo Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,27
Greene,Aleppo Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,48
Greene,Center Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,70
Greene,Center Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,118
Greene,Center Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,68
Greene,Center Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,59
Greene,Center Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,58
Greene,Center Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,65
Greene,Center Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,120
Greene,Center Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,68
Greene,Center Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,56
Greene,Center Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,73
Greene,Center Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,62
Greene,Center Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,48
Greene,Center Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,91
Greene,Center Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,67
Greene,Center Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,114
Greene,Center Township Voting Precinct,Rep Member Of Republican County Committee Center Twp (Vote for 2),Republican,Gene Rush,138
Greene,Center Township Voting Precinct,Rep Member Of Republican County Committee Center Twp (Vote for 2),Republican,Stephen Love,17
Greene,Center Township Voting Precinct,Rep Member Of Republican County Committee Center Twp (Vote for 2),Republican,Becci L. Watson,85
Greene,Freeport Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,7
Greene,Freeport Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,19
Greene,Freeport Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,7
Greene,Freeport Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,10
Greene,Freeport Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,8
Greene,Freeport Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,6
Greene,Freeport Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,20
Greene,Freeport Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,6
Greene,Freeport Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,14
Greene,Freeport Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,11
Greene,Freeport Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,6
Greene,Freeport Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,16
Greene,Freeport Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,11
Greene,Freeport Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,4
Greene,Freeport Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,20
Greene,Gilmore Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,22
Greene,Gilmore Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,26
Greene,Gilmore Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,16
Greene,Gilmore Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,13
Greene,Gilmore Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,13
Greene,Gilmore Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,18
Greene,Gilmore Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,28
Greene,Gilmore Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,18
Greene,Gilmore Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,16
Greene,Gilmore Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,13
Greene,Gilmore Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,15
Greene,Gilmore Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,11
Greene,Gilmore Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,21
Greene,Gilmore Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,22
Greene,Gilmore Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,26
Greene,Gilmore Township Voting Precinct,Rep Member Of Republican County Committee Gilmore Twp (Vote for 2),Republican,Deborah K. Metheny,29
Greene,Gray Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,9
Greene,Gray Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,15
Greene,Gray Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,9
Greene,Gray Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,5
Greene,Gray Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,10
Greene,Gray Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,9
Greene,Gray Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,18
Greene,Gray Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,8
Greene,Gray Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,7
Greene,Gray Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,10
Greene,Gray Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,8
Greene,Gray Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,2
Greene,Gray Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,17
Greene,Gray Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,12
Greene,Gray Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,17
Greene,Greene Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,33
Greene,Greene Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,45
Greene,Greene Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,26
Greene,Greene Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,25
Greene,Greene Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,20
Greene,Greene Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,28
Greene,Greene Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,47
Greene,Greene Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,25
Greene,Greene Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,30
Greene,Greene Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,21
Greene,Greene Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,26
Greene,Greene Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,23
Greene,Greene Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,30
Greene,Greene Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,28
Greene,Greene Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,46
Greene,Greene Township Voting Precinct,Rep Member Of Republican County Committee Greene Twp (Vote for 2),Republican,Faye Vandevender,49
Greene,Jackson Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,16
Greene,Jackson Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,51
Greene,Jackson Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,16
Greene,Jackson Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,28
Greene,Jackson Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,21
Greene,Jackson Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,16
Greene,Jackson Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,54
Greene,Jackson Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,15
Greene,Jackson Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,22
Greene,Jackson Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,35
Greene,Jackson Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,15
Greene,Jackson Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,35
Greene,Jackson Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,26
Greene,Jackson Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,16
Greene,Jackson Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,52
Greene,Morris Township Voting Precinct,Dem Governor,Democrat,Josh Shapiro,43
Greene,Morris Township Voting Precinct,Rep Governor,Republican,Stacy Garrity,84
Greene,Morris Township Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,39
Greene,Morris Township Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,42
Greene,Morris Township Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,41
Greene,Morris Township Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,33
Greene,Morris Township Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,85
Greene,Morris Township Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,33
Greene,Morris Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,42
Greene,Morris Township Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,51
Greene,Morris Township Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,33
Greene,Morris Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,32
Greene,Morris Township Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,61
Greene,Morris Township Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,37
Greene,Morris Township Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,82
