county,precinct,office,party,candidate,votes
Greene,Greensboro Borough Voting Precinct,Dem Governor,Democrat,Josh Shapiro,19
Greene,Greensboro Borough Voting Precinct,Rep Governor,Republican,Stacy Garrity,20
Greene,Greensboro Borough Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,18
Greene,Greensboro Borough Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,13
Greene,Greensboro Borough Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,6
Greene,Greensboro Borough Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,18
Greene,Greensboro Borough Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,19
Greene,Greensboro Borough Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,16
Greene,Greensboro Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,14
Greene,Greensboro Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,10
Greene,Greensboro Borough Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,15
Greene,Greensboro Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,12
Greene,Greensboro Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,12
Greene,Greensboro Borough Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,21
Greene,Greensboro Borough Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,21
Greene,Jefferson Borough Voting Precinct,Dem Governor,Democrat,Josh Shapiro,30
Greene,Jefferson Borough Voting Precinct,Rep Governor,Republican,Stacy Garrity,23
Greene,Jefferson Borough Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,26
Greene,Jefferson Borough Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,10
Greene,Jefferson Borough Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,12
Greene,Jefferson Borough Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,25
Greene,Jefferson Borough Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,22
Greene,Jefferson Borough Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,26
Greene,Jefferson Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,16
Greene,Jefferson Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,9
Greene,Jefferson Borough Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,22
Greene,Jefferson Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,8
Greene,Jefferson Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,17
Greene,Jefferson Borough Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,28
Greene,Jefferson Borough Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,24
Greene,Carmichaels Borough Voting Precinct,Dem Governor,Democrat,Josh Shapiro,24
Greene,Carmichaels Borough Voting Precinct,Rep Governor,Republican,Stacy Garrity,52
Greene,Carmichaels Borough Voting Precinct,Dem Lieutenant Governor,Democrat,Austin Davis,23
Greene,Carmichaels Borough Voting Precinct,Rep Lieutenant Governor,Republican,John Ventre,31
Greene,Carmichaels Borough Voting Precinct,Rep Lieutenant Governor,Republican,Jason Richey,18
Greene,Carmichaels Borough Voting Precinct,Dem Representative In Congress 14th Congressional Distri,Democrat,Alan Bradstock,23
Greene,Carmichaels Borough Voting Precinct,Rep Representative In Congress 14th Congressional Distri,Republican,Guy Reschenthaler,59
Greene,Carmichaels Borough Voting Precinct,Dem Senator In The General Assembly 46th Senatorial Dist,Democrat,Evan Snyder,23
Greene,Carmichaels Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Al Buchtan,49
Greene,Carmichaels Borough Voting Precinct,Rep Senator In The General Assembly 46th Senatorial Dist,Republican,Camera Bartolotta,16
Greene,Carmichaels Borough Voting Precinct,Dem Representative In The General Assembly 50th Legislat,Democrat,Lois Bower-bjornson,22
Greene,Carmichaels Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Bud Cook,24
Greene,Carmichaels Borough Voting Precinct,Rep Representative In The General Assembly 50th Legislat,Republican,Ben Humble,37
Greene,Carmichaels Borough Voting Precinct,Dem Member Of Democratic State Committee,Democrat,Dave Coder,24
Greene,Carmichaels Borough Voting Precinct,Rep Member Of Republican State Committee,Republican,Elizabeth Betsy Rohanna Mcclure,51
Greene,Carmichaels Borough Voting Precinct,Rep Member Of Republican County Committee Carmichaels B (Vote for 2),Republican,Linda Antonini,47
Greene,Carmichaels Borough Voting Precinct,Rep Member Of Republican County Committee Carmichaels B (Vote for 2),Republican,David A. Antonini,52
