Official Election Results
LEHIGH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Alburtis- 0068","DEM Governor","JOSH SHAPIRO","226","20.25%"
"Alburtis- 0068","DEM Lieutenant Governor","AUSTIN DAVIS","223","20.25%"
"Alburtis- 0068","Representative in Congress in the 7th Congressional Dist","CAROL OBANDO DERSTINE","49","20.25%"
"Alburtis- 0068","Representative in Congress in the 7th Congressional Dist","BOB BROOKS","96","20.25%"
"Alburtis- 0068","Representative in Congress in the 7th Congressional Dist","LAMONT G MCCLURE","26","20.25%"
"Alburtis- 0068","Representative in Congress in the 7th Congressional Dist","RYAN CROSSWELL","57","20.25%"
"Alburtis- 0068","Senator in the General Assembly in the 16th Senatorial D","MARK PINSLEY","157","20.25%"
"Alburtis- 0068","Senator in the General Assembly in the 16th Senatorial D","BRADLEY MERKL GUMP","69","20.25%"
"Alburtis- 0068","Representative in the General Assembly in the 187th Legi","GEOFFREY S WHITCOMB","68","20.25%"
"Alburtis- 0068","Representative in the General Assembly in the 187th Legi","RACHEL CUEVAS","160","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","DANIELLE SHACKELFORD","122","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","AIDAN LEVINSON","144","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","APRIL RIDDICK","119","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","CARMEN BELL","94","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","CELESTE DEE","71","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","GABRIELLE KLOTZ","156","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","SARINA TORRES","77","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","JULIAN GURIDY","122","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","SUNNY GHAI","120","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","LORI MCFARLAND","115","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","BEN STEMRICH","123","20.25%"
"Alburtis- 0068","Member of the Democratic State Committee","KATHLEEN PARSONS","90","20.25%"
"Alburtis- 0068","DEM Member of the County Committee Alburtis","STEPHEN NEMETH","131","20.25%"
"Alburtis- 0068","DEM Member of the County Committee Alburtis","FREDA RAFES","86","20.25%"
"Alburtis- 0068","DEM Member of the County Committee Alburtis","KATHLEEN PALMER","162","20.25%"
"Alburtis- 0068","REP Governor","STACY GARRITY","102","20.25%"
"Alburtis- 0068","REP Lieutenant Governor","JOHN VENTRE","33","20.25%"
"Alburtis- 0068","REP Lieutenant Governor","JASON RICHEY","74","20.25%"
"Alburtis- 0068","Representative in Congress in the 7th Congressional Dist","RYAN MACKENZIE","107","20.25%"
"Alburtis- 0068","Senator in the General Assembly in the 16th Senatorial D","JARRETT COLEMAN","108","20.25%"
