_id,line_number,contest_name,choice_name,party_name,total_votes,percent_of_votes,registered_voters,ballots_cast,total_number_of_precincts,number_of_precincts_reporting,over_votes,under_votes
110,110,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Anthony Vaccarello,DEM,331,4.28,28256,8737,50,50,0,0
111,111,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Richard J. McCague,DEM,79,1.02,28256,8737,50,50,0,0
112,112,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Write-in,DEM,48,0.62,28256,8737,50,50,0,0
113,113,DEM Magisterial District Judge District 05-02-32 (Vote For 1),Melanie Pallone,DEM,2234,54.51,24627,7352,27,27,0,0
114,114,DEM Magisterial District Judge District 05-02-32 (Vote For 1),Matt Feldmeier,DEM,897,21.89,24627,7352,27,27,0,0
115,115,DEM Magisterial District Judge District 05-02-32 (Vote For 1),Ryan Schneiderlochner,DEM,547,13.35,24627,7352,27,27,0,0
116,116,DEM Magisterial District Judge District 05-02-32 (Vote For 1),Margareth Sweeney,DEM,403,9.83,24627,7352,27,27,0,0
117,117,DEM Magisterial District Judge District 05-02-32 (Vote For 1),Write-in,DEM,17,0.41,24627,7352,27,27,0,0
118,118,DEM Magisterial District Judge District 05-02-35 (Vote For 1),Dan Butler,DEM,9229,98.33,41580,11800,55,55,0,0
119,119,DEM Magisterial District Judge District 05-02-35 (Vote For 1),Write-in,DEM,157,1.67,41580,11800,55,55,0,0
120,120,DEM Magisterial District Judge District 05-02-36 (Vote For 1),"James J. Hanley, Jr.",DEM,2584,97.92,11856,3418,26,26,0,0
121,121,DEM Magisterial District Judge District 05-02-36 (Vote For 1),Write-in,DEM,55,2.08,11856,3418,26,26,0,0
122,122,DEM Magisterial District Judge District 05-02-43 (Vote For 1),Carla  Swearingen-Batch,DEM,3861,99.36,18012,5747,16,16,0,0
123,123,DEM Magisterial District Judge District 05-02-43 (Vote For 1),Write-in,DEM,25,0.64,18012,5747,16,16,0,0
124,124,DEM Magisterial District Judge District 05-03-02 (Vote For 1),Giuseppe  Rosselli,DEM,1575,46.07,21957,6808,25,25,0,0
125,125,DEM Magisterial District Judge District 05-03-02 (Vote For 1),Michael J. Lepore,DEM,1107,32.38,21957,6808,25,25,0,0
126,126,DEM Magisterial District Judge District 05-03-02 (Vote For 1),Glen Sovich,DEM,715,20.91,21957,6808,25,25,0,0
127,127,DEM Magisterial District Judge District 05-03-02 (Vote For 1),Write-in,DEM,22,0.64,21957,6808,25,25,0,0
128,128,DEM Magisterial District Judge District 05-03-03 (Vote For 1),Mitchell Karaica,DEM,780,50.55,7602,2530,11,11,0,0
129,129,DEM Magisterial District Judge District 05-03-03 (Vote For 1),Michael J. Girardi,DEM,754,48.87,7602,2530,11,11,0,0
130,130,DEM Magisterial District Judge District 05-03-03 (Vote For 1),Write-in,DEM,9,0.58,7602,2530,11,11,0,0
131,131,DEM Magisterial District Judge District 05-03-06 (Vote For 1),Bruce J. Boni,DEM,961,97.86,7527,1376,18,18,0,0
132,132,DEM Magisterial District Judge District 05-03-06 (Vote For 1),Write-in,DEM,21,2.14,7527,1376,18,18,0,0
133,133,DEM Magisterial District Judge District 05-03-14 (Vote For 1),Richard King,DEM,2829,97.52,19733,3864,40,40,0,0
134,134,DEM Magisterial District Judge District 05-03-14 (Vote For 1),Write-in,DEM,72,2.48,19733,3864,40,40,0,0
135,135,DEM School Director Allegheny Valley (Vote For 5),Amy Sarno,DEM,871,18.11,6814,2346,10,10,0,0
136,136,DEM School Director Allegheny Valley (Vote For 5),Paula Jean Moretti,DEM,841,17.48,6814,2346,10,10,0,0
137,137,DEM School Director Allegheny Valley (Vote For 5),Nicole L. Paulovich,DEM,761,15.82,6814,2346,10,10,0,0
138,138,DEM School Director Allegheny Valley (Vote For 5),Glenna L. Renaldi,DEM,726,15.09,6814,2346,10,10,0,0
139,139,DEM School Director Allegheny Valley (Vote For 5),Kathleen J. Haas,DEM,644,13.39,6814,2346,10,10,0,0
140,140,DEM School Director Allegheny Valley (Vote For 5),Colleen Crumb,DEM,536,11.14,6814,2346,10,10,0,0
141,141,DEM School Director Allegheny Valley (Vote For 5),James Schiemer,DEM,385,8,6814,2346,10,10,0,0
142,142,DEM School Director Allegheny Valley (Vote For 5),Write-in,DEM,46,0.96,6814,2346,10,10,0,0
143,143,DEM School Director Allegheny Valley (Vote For 1),Write-in,DEM,150,100,6814,2346,10,10,0,0
144,144,DEM School Director Avonworth (Vote For 5),Yuling Cheng,DEM,1238,21.18,9518,2582,9,9,0,0
145,145,DEM School Director Avonworth (Vote For 5),Danielle White,DEM,1152,19.71,9518,2582,9,9,0,0
146,146,DEM School Director Avonworth (Vote For 5),John Brandt,DEM,1144,19.57,9518,2582,9,9,0,0
147,147,DEM School Director Avonworth (Vote For 5),Jenna Paulat,DEM,1142,19.53,9518,2582,9,9,0,0
148,148,DEM School Director Avonworth (Vote For 5),Nora Silvey,DEM,1141,19.52,9518,2582,9,9,0,0
149,149,DEM School Director Avonworth (Vote For 5),Write-in,DEM,29,0.5,9518,2582,9,9,0,0
150,150,DEM School Director Baldwin Whitehall (Vote For 5),Janice Tarson,DEM,2959,18.23,27567,7348,38,38,0,0
151,151,DEM School Director Baldwin Whitehall (Vote For 5),Anthony J. DiCesaro,DEM,2566,15.81,27567,7348,38,38,0,0
152,152,DEM School Director Baldwin Whitehall (Vote For 5),Peter D. Giglione,DEM,2543,15.66,27567,7348,38,38,0,0
153,153,DEM School Director Baldwin Whitehall (Vote For 5),John Bell,DEM,2277,14.03,27567,7348,38,38,0,0
154,154,DEM School Director Baldwin Whitehall (Vote For 5),Dan Knezevich,DEM,2153,13.26,27567,7348,38,38,0,0
155,155,DEM School Director Baldwin Whitehall (Vote For 5),Robert Achtzehn,DEM,2066,12.73,27567,7348,38,38,0,0
156,156,DEM School Director Baldwin Whitehall (Vote For 5),Erik Spratt,DEM,1581,9.74,27567,7348,38,38,0,0
157,157,DEM School Director Baldwin Whitehall (Vote For 5),Write-in,DEM,90,0.55,27567,7348,38,38,0,0
158,158,DEM School Director Bethel Park (Vote For 5),Liz Avon,DEM,2510,13.84,25848,7684,29,29,0,0
159,159,DEM School Director Bethel Park (Vote For 5),Danielle Gosnell,DEM,2488,13.72,25848,7684,29,29,0,0
160,160,DEM School Director Bethel Park (Vote For 5),Kimberly Walsh Turner,DEM,2073,11.43,25848,7684,29,29,0,0
161,161,DEM School Director Bethel Park (Vote For 5),James H. Modrak,DEM,2014,11.11,25848,7684,29,29,0,0
162,162,DEM School Director Bethel Park (Vote For 5),Darren McGregor,DEM,1964,10.83,25848,7684,29,29,0,0
163,163,DEM School Director Bethel Park (Vote For 5),Andy  Cronican,DEM,1807,9.97,25848,7684,29,29,0,0
164,164,DEM School Director Bethel Park (Vote For 5),Barry Christenson,DEM,1770,9.76,25848,7684,29,29,0,0
165,165,DEM School Director Bethel Park (Vote For 5),Damian Werts,DEM,1744,9.62,25848,7684,29,29,0,0
166,166,DEM School Director Bethel Park (Vote For 5),Vincent Scalzo,DEM,1701,9.38,25848,7684,29,29,0,0
167,167,DEM School Director Bethel Park (Vote For 5),Write-in,DEM,61,0.34,25848,7684,29,29,0,0
168,168,DEM School Director Brentwood (Vote For 5),"Robert F. Kircher, Jr.",DEM,689,21.88,6509,1363,10,10,0,0
169,169,DEM School Director Brentwood (Vote For 5),David Schaap,DEM,635,20.17,6509,1363,10,10,0,0
170,170,DEM School Director Brentwood (Vote For 5),Richard H. Briner,DEM,607,19.28,6509,1363,10,10,0,0
171,171,DEM School Director Brentwood (Vote For 5),Roger E. Gaughan,DEM,605,19.21,6509,1363,10,10,0,0
172,172,DEM School Director Brentwood (Vote For 5),"David S. Tinker, II",DEM,581,18.45,6509,1363,10,10,0,0
173,173,DEM School Director Brentwood (Vote For 5),Write-in,DEM,32,1.02,6509,1363,10,10,0,0
174,174,DEM School Director Carlynton (Vote For 5),Kelly Ann Zaletski,DEM,1199,22.69,10041,2272,15,15,0,0
175,175,DEM School Director Carlynton (Vote For 5),Jim Schriver,DEM,1006,19.04,10041,2272,15,15,0,0
176,176,DEM School Director Carlynton (Vote For 5),Derek Luke,DEM,955,18.07,10041,2272,15,15,0,0
177,177,DEM School Director Carlynton (Vote For 5),Joseph C. Appel,DEM,947,17.92,10041,2272,15,15,0,0
178,178,DEM School Director Carlynton (Vote For 5),George Honchar,DEM,937,17.73,10041,2272,15,15,0,0
179,179,DEM School Director Carlynton (Vote For 5),Write-in,DEM,240,4.54,10041,2272,15,15,0,0
180,180,DEM School Director Chartiers Valley (Vote For 5),Kate Drury,DEM,2084,15.08,22319,6100,29,29,0,0
181,181,DEM School Director Chartiers Valley (Vote For 5),Jeff Choura,DEM,1976,14.3,22319,6100,29,29,0,0
182,182,DEM School Director Chartiers Valley (Vote For 5),Sonja P. Svihla,DEM,1881,13.61,22319,6100,29,29,0,0
183,183,DEM School Director Chartiers Valley (Vote For 5),Louise F. Huehn,DEM,1678,12.15,22319,6100,29,29,0,0
184,184,DEM School Director Chartiers Valley (Vote For 5),Darren G. Mariano,DEM,1675,12.12,22319,6100,29,29,0,0
185,185,DEM School Director Chartiers Valley (Vote For 5),Robert Kearney,DEM,1644,11.9,22319,6100,29,29,0,0
186,186,DEM School Director Chartiers Valley (Vote For 5),Priscilla Tarr,DEM,1483,10.73,22319,6100,29,29,0,0
187,187,DEM School Director Chartiers Valley (Vote For 5),Ed Brosky,DEM,1322,9.57,22319,6100,29,29,0,0
188,188,DEM School Director Chartiers Valley (Vote For 5),Write-in,DEM,73,0.53,22319,6100,29,29,0,0
189,189,DEM School Director Clairton At-Large (Vote For 1),Felix Fusco,DEM,631,97.38,3913,863,12,12,0,0
190,190,DEM School Director Clairton At-Large (Vote For 1),Write-in,DEM,17,2.62,3913,863,12,12,0,0
191,191,DEM School Director Clairton Region 1 (Vote For 1),Jeffery Potts,DEM,101,54.3,1015,240,3,3,0,0
192,192,DEM School Director Clairton Region 1 (Vote For 1),Kathy Santoline,DEM,83,44.62,1015,240,3,3,0,0
193,193,DEM School Director Clairton Region 1 (Vote For 1),Write-in,DEM,2,1.08,1015,240,3,3,0,0
194,194,DEM School Director Clairton Region 2 (Vote For 1),Rikell Ford,DEM,109,97.32,758,147,3,3,0,0
195,195,DEM School Director Clairton Region 2 (Vote For 1),Write-in,DEM,3,2.68,758,147,3,3,0,0
196,196,DEM School Director Clairton Region 3 (Vote For 1),Jawanna Warren,DEM,138,97.87,1055,206,3,3,0,0
197,197,DEM School Director Clairton Region 3 (Vote For 1),Write-in,DEM,3,2.13,1055,206,3,3,0,0
198,198,DEM School Director Clairton Region 4 (Vote For 1),Roger Tachoir,DEM,190,96.45,1085,270,3,3,0,0
199,199,DEM School Director Clairton Region 4 (Vote For 1),Write-in,DEM,7,3.55,1085,270,3,3,0,0
200,200,DEM School Director Clairton Region 4 (Vote For 1),Kailon P. Lyons,DEM,145,65.02,1085,270,3,3,0,0
201,201,DEM School Director Clairton Region 4 (Vote For 1),Marie E. Sopko,DEM,78,34.98,1085,270,3,3,0,0
202,202,DEM School Director Clairton Region 4 (Vote For 1),Write-in,DEM,0,0,1085,270,3,3,0,0
203,203,DEM School Director Cornell (Vote For 5),Karen K. Murphy,DEM,594,24.26,4416,1093,10,10,0,0
204,204,DEM School Director Cornell (Vote For 5),Mark  Cavicchia,DEM,495,20.22,4416,1093,10,10,0,0
205,205,DEM School Director Cornell (Vote For 5),Michael S. Griffith,DEM,473,19.32,4416,1093,10,10,0,0
206,206,DEM School Director Cornell (Vote For 5),Catherine G. Cocco,DEM,442,18.06,4416,1093,10,10,0,0
207,207,DEM School Director Cornell (Vote For 5),Caryn Code,DEM,421,17.2,4416,1093,10,10,0,0
208,208,DEM School Director Cornell (Vote For 5),Write-in,DEM,23,0.94,4416,1093,10,10,0,0
209,209,DEM School Director Cornell (Vote For 1),Scott Spencer,DEM,689,98.71,4416,1093,10,10,0,0
210,210,DEM School Director Cornell (Vote For 1),Write-in,DEM,9,1.29,4416,1093,10,10,0,0
211,211,DEM School Director Deer Lakes (Vote For 5),Cristy McCloskey,DEM,1120,21.48,10241,2790,11,11,0,0
212,212,DEM School Director Deer Lakes (Vote For 5),Susan  Claus,DEM,910,17.45,10241,2790,11,11,0,0
213,213,DEM School Director Deer Lakes (Vote For 5),Larry Neidig,DEM,742,14.23,10241,2790,11,11,0,0
214,214,DEM School Director Deer Lakes (Vote For 5),James Calvert,DEM,739,14.17,10241,2790,11,11,0,0
215,215,DEM School Director Deer Lakes (Vote For 5),Phillip Ziendarski,DEM,642,12.31,10241,2790,11,11,0,0
216,216,DEM School Director Deer Lakes (Vote For 5),Pietro Giuseppe Porco,DEM,635,12.18,10241,2790,11,11,0,0
217,217,DEM School Director Deer Lakes (Vote For 5),"Leonard Verdetto, III",DEM,397,7.61,10241,2790,11,11,0,0
218,218,DEM School Director Deer Lakes (Vote For 5),Write-in,DEM,29,0.56,10241,2790,11,11,0,0
219,219,DEM School Director Duquesne (Vote For 5),Sonya Gooden,DEM,354,27.27,3273,562,10,10,0,0
220,220,DEM School Director Duquesne (Vote For 5),Calvina Harris,DEM,323,24.88,3273,562,10,10,0,0
221,221,DEM School Director Duquesne (Vote For 5),Cedric F. Robertson,DEM,269,20.72,3273,562,10,10,0,0
222,222,DEM School Director Duquesne (Vote For 5),Burton Comensky,DEM,237,18.26,3273,562,10,10,0,0
223,223,DEM School Director Duquesne (Vote For 5),Write-in,DEM,115,8.86,3273,562,10,10,0,0
224,224,DEM School Director East Allegheny Region 1 (Vote For 1),Tisha Thomas,DEM,152,100,818,185,2,2,0,0
225,225,DEM School Director East Allegheny Region 1 (Vote For 1),Write-in,DEM,0,0,818,185,2,2,0,0
226,226,DEM School Director East Allegheny Region 5 (Vote For 1),"George Yusko, Jr.",DEM,195,97.01,1153,290,2,2,0,0
227,227,DEM School Director East Allegheny Region 5 (Vote For 1),Write-in,DEM,6,2.99,1153,290,2,2,0,0
228,228,DEM School Director East Allegheny Region 6 (Vote For 1),Daniel Ziober,DEM,142,100,901,215,2,2,0,0
229,229,DEM School Director East Allegheny Region 6 (Vote For 1),Write-in,DEM,0,0,901,215,2,2,0,0
230,230,DEM School Director East Allegheny Region 8 (Vote For 1),"John Paul Savinda, Jr.",DEM,120,100,871,190,2,2,0,0
231,231,DEM School Director East Allegheny Region 8 (Vote For 1),Write-in,DEM,0,0,871,190,2,2,0,0
232,232,DEM School Director East Allegheny Region 9 (Vote For 1),Merle Wayne Pusey,DEM,92,98.92,865,138,2,2,0,0
