_id,line_number,contest_name,choice_name,party_name,total_votes,percent_of_votes,registered_voters,ballots_cast,total_number_of_precincts,number_of_precincts_reporting,over_votes,under_votes
1,1,REGISTERED VOTERS - Nonpartisan (Vote For 0),REGISTERED VOTERS - Nonpartisan,NON,0,0,896293,235061,1323,1323,0,0
2,2,DEM Justice of the Supreme Court (Vote For 1),Debbie Kunselman,DEM,91117,56.83,896293,235061,1324,1324,0,0
3,3,DEM Justice of the Supreme Court (Vote For 1),Daniel McCaffery,DEM,68505,42.73,896293,235061,1324,1324,0,0
4,4,DEM Justice of the Supreme Court (Vote For 1),Write-in,DEM,699,0.44,896293,235061,1324,1324,0,0
5,5,DEM Judge of the Superior Court (Vote For 2),Jill Beck,DEM,141477,57.29,896293,235061,1324,1324,0,0
6,6,DEM Judge of the Superior Court (Vote For 2),Timika Lane,DEM,72272,29.26,896293,235061,1324,1324,0,0
7,7,DEM Judge of the Superior Court (Vote For 2),Pat Dugan,DEM,32367,13.11,896293,235061,1324,1324,0,0
8,8,DEM Judge of the Superior Court (Vote For 2),Write-in,DEM,850,0.34,896293,235061,1324,1324,0,0
9,9,DEM Judge of the Commonwealth Court (Vote For 1),Bryan Neft,DEM,139717,87.43,896293,235061,1324,1324,0,0
10,10,DEM Judge of the Commonwealth Court (Vote For 1),Matt Wolf,DEM,19556,12.24,896293,235061,1324,1324,0,0
11,11,DEM Judge of the Commonwealth Court (Vote For 1),Write-in,DEM,540,0.34,896293,235061,1324,1324,0,0
12,12,DEM Judge of the Court of Common Pleas (Vote For 1),Patrick A. Sweeney,DEM,79045,48.75,896293,235061,1324,1324,0,0
13,13,DEM Judge of the Court of Common Pleas (Vote For 1),Anthony DeLuca,DEM,55813,34.42,896293,235061,1324,1324,0,0
14,14,DEM Judge of the Court of Common Pleas (Vote For 1),Andy Szefi,DEM,27071,16.69,896293,235061,1324,1324,0,0
15,15,DEM Judge of the Court of Common Pleas (Vote For 1),Write-in,DEM,227,0.14,896293,235061,1324,1324,0,0
16,16,DEM County Chief Executive (Vote For 1),Sara Innamorato,DEM,64982,37.64,896293,235061,1324,1324,0,0
17,17,DEM County Chief Executive (Vote For 1),John K. Weinstein,DEM,50935,29.51,896293,235061,1324,1324,0,0
18,18,DEM County Chief Executive (Vote For 1),Michael E. Lamb,DEM,34147,19.78,896293,235061,1324,1324,0,0
19,19,DEM County Chief Executive (Vote For 1),Dave Fawcett,DEM,16712,9.68,896293,235061,1324,1324,0,0
20,20,DEM County Chief Executive (Vote For 1),Theresa Sciulli Colaizzi,DEM,3663,2.12,896293,235061,1324,1324,0,0
21,21,DEM County Chief Executive (Vote For 1),William Parker,DEM,1961,1.14,896293,235061,1324,1324,0,0
22,22,DEM County Chief Executive (Vote For 1),Write-in,DEM,228,0.13,896293,235061,1324,1324,0,0
23,23,DEM County Treasurer (Vote For 1),Erica Rocchi Brusselars,DEM,104619,66,896293,235061,1324,1324,0,0
24,24,DEM County Treasurer (Vote For 1),Anthony Coghill,DEM,53431,33.71,896293,235061,1324,1324,0,0
25,25,DEM County Treasurer (Vote For 1),Write-in,DEM,475,0.3,896293,235061,1324,1324,0,0
26,26,DEM District Attorney (Vote For 1),Matt Dugan,DEM,94974,55.62,896293,235061,1324,1324,0,0
27,27,DEM District Attorney (Vote For 1),Steve Zappala,DEM,75575,44.26,896293,235061,1324,1324,0,0
28,28,DEM District Attorney (Vote For 1),Write-in,DEM,196,0.11,896293,235061,1324,1324,0,0
29,29,DEM County Controller (Vote For 1),Corey O'Connor,DEM,135666,81.35,896293,235061,1324,1324,0,0
30,30,DEM County Controller (Vote For 1),Darwin Leuba,DEM,30719,18.42,896293,235061,1324,1324,0,0
31,31,DEM County Controller (Vote For 1),Write-in,DEM,381,0.23,896293,235061,1324,1324,0,0
32,32,DEM County Council At-Large (Vote For 1),Bethany Hallam,DEM,89464,56.33,896293,235061,1324,1324,0,0
33,33,DEM County Council At-Large (Vote For 1),Joanna Doven,DEM,68393,43.06,896293,235061,1324,1324,0,0
34,34,DEM County Council At-Large (Vote For 1),Write-in,DEM,969,0.61,896293,235061,1324,1324,0,0
35,35,DEM County Council by District District 2 (Vote For 1),Todd Hamer,DEM,8648,98.31,71301,19711,67,67,0,0
36,36,DEM County Council by District District 2 (Vote For 1),Write-in,DEM,149,1.69,71301,19711,67,67,0,0
37,37,DEM County Council by District District 5 (Vote For 1),Dan Grzybek,DEM,12788,98.95,73310,22377,94,94,0,0
38,38,DEM County Council by District District 5 (Vote For 1),Write-in,DEM,136,1.05,73310,22377,94,94,0,0
39,39,DEM County Council by District District 6 (Vote For 1),John F. Palmiere,DEM,10104,98.93,67370,17240,98,98,0,0
40,40,DEM County Council by District District 6 (Vote For 1),Write-in,DEM,109,1.07,67370,17240,98,98,0,0
41,41,DEM County Council by District District 7 (Vote For 1),Nick Futules,DEM,11345,98.67,66652,18343,106,106,0,0
42,42,DEM County Council by District District 7 (Vote For 1),Write-in,DEM,153,1.33,66652,18343,106,106,0,0
43,43,DEM County Council by District District 10 (Vote For 1),DeWitt  Walton,DEM,5184,38.41,73159,16280,138,138,0,0
44,44,DEM County Council by District District 10 (Vote For 1),Carlos Thomas,DEM,4450,32.97,73159,16280,138,138,0,0
45,45,DEM County Council by District District 10 (Vote For 1),Eric S. Smith,DEM,3801,28.16,73159,16280,138,138,0,0
46,46,DEM County Council by District District 10 (Vote For 1),Write-in,DEM,62,0.46,73159,16280,138,138,0,0
47,47,DEM County Council by District District 11 (Vote For 1),Paul Klein,DEM,9227,61.3,71626,18830,117,117,0,0
48,48,DEM County Council by District District 11 (Vote For 1),Dennis McDermott,DEM,5761,38.28,71626,18830,117,117,0,0
49,49,DEM County Council by District District 11 (Vote For 1),Write-in,DEM,63,0.42,71626,18830,117,117,0,0
50,50,DEM County Council by District District 13 (Vote For 1),David Bonaroti,DEM,11570,96.42,71093,16871,121,121,0,0
51,51,DEM County Council by District District 13 (Vote For 1),Write-in,DEM,430,3.58,71093,16871,121,121,0,0
52,52,DEM Pittsburgh Controller (Vote For 1),Rachael Heisler,DEM,22367,48.79,222236,53070,402,402,0,0
53,53,DEM Pittsburgh Controller (Vote For 1),Mark V. DePasquale,DEM,12213,26.64,222236,53070,402,402,0,0
54,54,DEM Pittsburgh Controller (Vote For 1),Tracy Royston,DEM,11132,24.28,222236,53070,402,402,0,0
55,55,DEM Pittsburgh Controller (Vote For 1),Write-in,DEM,127,0.28,222236,53070,402,402,0,0
56,56,DEM Pittsburgh City Council District 1 (Vote For 1),Bobby Wilson,DEM,3614,78.36,24224,5652,37,37,0,0
57,57,DEM Pittsburgh City Council District 1 (Vote For 1),Steven Oberst,DEM,972,21.08,24224,5652,37,37,0,0
58,58,DEM Pittsburgh City Council District 1 (Vote For 1),Write-in,DEM,26,0.56,24224,5652,37,37,0,0
59,59,DEM Pittsburgh City Council District 3 (Vote For 1),Bob Charland,DEM,2878,97.92,25338,3828,42,42,0,0
60,60,DEM Pittsburgh City Council District 3 (Vote For 1),Write-in,DEM,61,2.08,25338,3828,42,42,0,0
61,61,DEM Pittsburgh City Council District 5 (Vote For 1),Barb Warwick,DEM,5288,76.6,24942,7898,46,46,0,0
62,62,DEM Pittsburgh City Council District 5 (Vote For 1),Laura  Brillman,DEM,1590,23.03,24942,7898,46,46,0,0
63,63,DEM Pittsburgh City Council District 5 (Vote For 1),Write-in,DEM,25,0.36,24942,7898,46,46,0,0
64,64,DEM Pittsburgh City Council District 7 (Vote For 1),Deb Gross,DEM,5112,65.56,27797,8692,45,45,0,0
65,65,DEM Pittsburgh City Council District 7 (Vote For 1),Jordan Botta,DEM,2661,34.12,27797,8692,45,45,0,0
66,66,DEM Pittsburgh City Council District 7 (Vote For 1),Write-in,DEM,25,0.32,27797,8692,45,45,0,0
67,67,DEM Pittsburgh City Council District 9 (Vote For 1),Khari Mosley,DEM,4550,70.08,26701,7176,64,64,0,0
68,68,DEM Pittsburgh City Council District 9 (Vote For 1),Khadijah Harris,DEM,1915,29.49,26701,7176,64,64,0,0
69,69,DEM Pittsburgh City Council District 9 (Vote For 1),Write-in,DEM,28,0.43,26701,7176,64,64,0,0
70,70,DEM Pittsburgh Schools District 2 (Vote For 1),Devon Taliaferro,DEM,4358,58.99,28905,8789,48,48,0,0
71,71,DEM Pittsburgh Schools District 2 (Vote For 1),Ron Sofo,DEM,3006,40.69,28905,8789,48,48,0,0
72,72,DEM Pittsburgh Schools District 2 (Vote For 1),Write-in,DEM,24,0.32,28905,8789,48,48,0,0
73,73,DEM Pittsburgh Schools District 4 (Vote For 1),Yael Silk,DEM,5380,98.5,27366,6826,35,35,0,0
74,74,DEM Pittsburgh Schools District 4 (Vote For 1),Write-in,DEM,82,1.5,27366,6826,35,35,0,0
75,75,DEM Pittsburgh Schools District 6 (Vote For 1),Emma Yourd,DEM,4252,97.88,25001,6307,49,49,0,0
76,76,DEM Pittsburgh Schools District 6 (Vote For 1),Write-in,DEM,92,2.12,25001,6307,49,49,0,0
77,77,DEM Pittsburgh Schools District 8 (Vote For 1),Dwayne Barker,DEM,3195,98.43,23668,4221,44,44,0,0
78,78,DEM Pittsburgh Schools District 8 (Vote For 1),Write-in,DEM,51,1.57,23668,4221,44,44,0,0
79,79,DEM Magisterial District Judge District 05-02-01 (Vote For 1),Tara  Smith,DEM,3036,98.7,18575,4633,21,21,0,0
80,80,DEM Magisterial District Judge District 05-02-01 (Vote For 1),Write-in,DEM,40,1.3,18575,4633,21,21,0,0
81,81,DEM Magisterial District Judge District 05-02-03 (Vote For 1),"Daniel J. Konieczka, Jr.",DEM,4767,98.86,27766,7763,46,46,0,0
82,82,DEM Magisterial District Judge District 05-02-03 (Vote For 1),Write-in,DEM,55,1.14,27766,7763,46,46,0,0
83,83,DEM Magisterial District Judge District 05-02-05 (Vote For 1),Carolyn Saldari Bengel,DEM,1632,70.41,13191,3706,23,23,0,0
84,84,DEM Magisterial District Judge District 05-02-05 (Vote For 1),Thomas A. Babinsack,DEM,683,29.47,13191,3706,23,23,0,0
85,85,DEM Magisterial District Judge District 05-02-05 (Vote For 1),Write-in,DEM,3,0.13,13191,3706,23,23,0,0
86,86,DEM Magisterial District Judge District 05-02-07 (Vote For 1),Jeffrey L.  Herbst,DEM,3302,95.43,22183,5654,28,28,0,0
87,87,DEM Magisterial District Judge District 05-02-07 (Vote For 1),Write-in,DEM,158,4.57,22183,5654,28,28,0,0
88,88,DEM Magisterial District Judge District 05-02-08 (Vote For 1),Lisa Caulfield,DEM,2197,50.72,16549,5171,26,26,0,0
89,89,DEM Magisterial District Judge District 05-02-08 (Vote For 1),Weldianne Scales,DEM,1501,34.65,16549,5171,26,26,0,0
90,90,DEM Magisterial District Judge District 05-02-08 (Vote For 1),Brooke Burchette Williams,DEM,628,14.5,16549,5171,26,26,0,0
91,91,DEM Magisterial District Judge District 05-02-08 (Vote For 1),Write-in,DEM,6,0.14,16549,5171,26,26,0,0
92,92,DEM Magisterial District Judge District 05-02-10 (Vote For 1),Iren Evans,DEM,2082,69.94,14773,3675,20,20,0,0
93,93,DEM Magisterial District Judge District 05-02-10 (Vote For 1),Todd Elliott Koger,DEM,779,26.17,14773,3675,20,20,0,0
94,94,DEM Magisterial District Judge District 05-02-10 (Vote For 1),Write-in,DEM,116,3.9,14773,3675,20,20,0,0
95,95,DEM Magisterial District Judge District 05-02-12 (Vote For 1),Eric Fischer,DEM,3060,54.56,41155,10781,37,37,0,0
96,96,DEM Magisterial District Judge District 05-02-12 (Vote For 1),Matthew J. Brungo,DEM,2532,45.15,41155,10781,37,37,0,0
97,97,DEM Magisterial District Judge District 05-02-12 (Vote For 1),Write-in,DEM,16,0.29,41155,10781,37,37,0,0
98,98,DEM Magisterial District Judge District 05-02-15 (Vote For 1),Patrick D. Campbell,DEM,2098,98.45,11084,2982,21,21,0,0
99,99,DEM Magisterial District Judge District 05-02-15 (Vote For 1),Write-in,DEM,33,1.55,11084,2982,21,21,0,0
100,100,DEM Magisterial District Judge District 05-02-16 (Vote For 1),Michael W. Thatcher,DEM,3393,98.86,24762,6596,32,32,0,0
101,101,DEM Magisterial District Judge District 05-02-16 (Vote For 1),Write-in,DEM,39,1.14,24762,6596,32,32,0,0
102,102,DEM Magisterial District Judge District 05-02-23 (Vote For 1),Jack  Kobistek,DEM,2077,98.76,13308,3129,20,20,0,0
103,103,DEM Magisterial District Judge District 05-02-23 (Vote For 1),Write-in,DEM,26,1.24,13308,3129,20,20,0,0
104,104,DEM Magisterial District Judge District 05-02-27 (Vote For 1),Nina Ricciardi,DEM,2790,98.55,25460,3525,38,38,0,0
105,105,DEM Magisterial District Judge District 05-02-27 (Vote For 1),Write-in,DEM,41,1.45,25460,3525,38,38,0,0
106,106,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Kate Lovelace,DEM,2479,32.02,28256,8737,50,50,0,0
107,107,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Casey P. Mullen,DEM,1923,24.84,28256,8737,50,50,0,0
108,108,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Philip Roberts,DEM,1485,19.18,28256,8737,50,50,0,0
109,109,DEM Magisterial District Judge District 05-02-31 (Vote For 1),Rachel Rosnick,DEM,1397,18.04,28256,8737,50,50,0,0
