Unofficial Election Results
LEHIGH
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Alburtis- 0071","JUDGE OF THE SUPERIOR COURT","DEM Brandon Neuman","434","49.22%"
"Alburtis- 0071","JUDGE OF THE SUPERIOR COURT","REP Maria Battista","365","49.22%"
"Alburtis- 0071","JUDGE OF THE SUPERIOR COURT","LBR Daniel Wassmer","27","49.22%"
"Alburtis- 0071","JUDGE OF THE COMMONWEALTH COURT","DEM Stella Tsai","441","49.22%"
"Alburtis- 0071","JUDGE OF THE COMMONWEALTH COURT","REP Matt Wolford","382","49.22%"
"Alburtis- 0071","JUDGE OF THE COURT OF COMMON PLEAS","DEM Mark B Stanziola","437","49.22%"
"Alburtis- 0071","JUDGE OF THE COURT OF COMMON PLEAS","REP Patricia Fuentes Mulqueen","390","49.22%"
"Alburtis- 0071","COUNTY EXECUTIVE","DEM Joshua Siegel","441","49.22%"
"Alburtis- 0071","COUNTY EXECUTIVE","REP Roger MacLean","386","49.22%"
"Alburtis- 0071","COUNTY COMMISSIONER - DISTRICT 2","DAR Ron W Beitler","718","49.22%"
"Alburtis- 0071","ALBURTIS MAYOR","DEM Hector Moss","459","49.22%"
"Alburtis- 0071","ALBURTIS MAYOR","REP David Kutzor","183","49.22%"
"Alburtis- 0071","ALBURTIS BOROUGH COUNCIL","DEM Michael Gerhart","532","49.22%"
"Alburtis- 0071","ALBURTIS BOROUGH COUNCIL","REP Steven R Hill","461","49.22%"
"Alburtis- 0071","ALBURTIS BOROUGH COUNCIL","REP John J Aleszczyk Jr","361","49.22%"
"Alburtis- 0071","ALBURTIS TAX COLLECTOR","DEM Samantha Trexler","755","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","DEM Melissa Stiavelli","426","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","DEM Christine Price","442","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","DEM Rita Perez","347","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","DAR William Whitney","331","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","REP Michael Felegy","405","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","REP Paul Barbehenn","353","49.22%"
"Alburtis- 0071","EAST PENN SCHOOL DIRECTOR","REP Alicia Du Plooy","283","49.22%"
"Alburtis- 0071","SUPREME COURT - DONOHUE","Yes","489","49.22%"
"Alburtis- 0071","SUPREME COURT - DONOHUE","No","306","49.22%"
"Alburtis- 0071","SUPREME COURT - DOUGHERTY","Yes","495","49.22%"
"Alburtis- 0071","SUPREME COURT - DOUGHERTY","No","301","49.22%"
"Alburtis- 0071","SUPREME COURT - WECHT","Yes","481","49.22%"
"Alburtis- 0071","SUPREME COURT - WECHT","No","310","49.22%"
"Alburtis- 0071","SUPERIOR COURT - DEBOW","Yes","468","49.22%"
"Alburtis- 0071","SUPERIOR COURT - DEBOW","No","315","49.22%"
"Alburtis- 0071","COMMONWEALTH COURT - WOJCIK","Yes","470","49.22%"
"Alburtis- 0071","COMMONWEALTH COURT - WOJCIK","No","313","49.22%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE SUPERIOR COURT","DEM Brandon Neuman","141","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE SUPERIOR COURT","REP Maria Battista","40","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE SUPERIOR COURT","LBR Daniel Wassmer","4","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE COMMONWEALTH COURT","DEM Stella Tsai","147","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE COMMONWEALTH COURT","REP Matt Wolford","36","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE COURT OF COMMON PLEAS","DEM Mark B Stanziola","137","10.71%"
"Allentown 10th Ward 1st Dist- 0017","JUDGE OF THE COURT OF COMMON PLEAS","REP Patricia Fuentes Mulqueen","45","10.71%"
"Allentown 10th Ward 1st Dist- 0017","COUNTY EXECUTIVE","DEM Joshua Siegel","151","10.71%"
"Allentown 10th Ward 1st Dist- 0017","COUNTY EXECUTIVE","REP Roger MacLean","32","10.71%"
"Allentown 10th Ward 1st Dist- 0017","COUNTY COMMISSIONER - DISTRICT 4","DEM Geoffrey Brace","155","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN MAYOR","DEM Matt Tuerk","143","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN MAYOR","REP Ed Zucal","44","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN CITY COUNCIL","DEM Cynthia Y Mota","124","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN CITY COUNCIL","DEM Jeremy Binder","106","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN CITY COUNCIL","DEM Natalie Santos","100","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN CITY COUNCIL","DEM Cristian Pungo","89","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Evette D'Amore","111","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Cereta Johnson","102","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","DAR Dianne L Michels","79","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Denzel Morris","82","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","REP Robert E Smith Jr","31","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","REP Tom Houck","27","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 4YR","REP David F Zimmerman","31","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 2YR","DEM Nick Nicholoff","141","10.71%"
"Allentown 10th Ward 1st Dist- 0017","ALLENTOWN SCHOOL DIRECTOR - 2YR","REP Robert E Smith Jr","41","10.71%"
"Allentown 10th Ward 1st Dist- 0017","SUPREME COURT - DONOHUE","Yes","143","10.71%"
"Allentown 10th Ward 1st Dist- 0017","SUPREME COURT - DONOHUE","No","33","10.71%"
"Allentown 10th Ward 1st Dist- 0017","SUPREME COURT - DOUGHERTY","Yes","143","10.71%"
"Allentown 10th Ward 1st Dist- 0017","SUPREME COURT - DOUGHERTY","No","34","10.71%"
