Precinct,"Registered
Voters",Voters Cast,,% Turnout,,,,,,,,,,,,,,,,,,,,,,,
Lausanne Township,179,67,,37.43%,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Township,342,117,,34.21%,,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - First Ward,"1,155",400,,34.63%,,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - Second Ward,"1,039",414,,39.85%,,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - Third Ward,"1,098",401,,36.52%,,,,,,,,,,,,,,,,,,,,,,,
Lower Towamensing Township - North,"1,305",492,,37.70%,,,,,,,,,,,,,,,,,,,,,,,
Lower Towamensing Township - South,923,373,,40.41%,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,"1,755",813,,46.32%,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,671,325,,48.44%,,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,568,195,,34.33%,,,,,,,,,,,,,,,,,,,,,,,
Nesquehoning Borough - East,957,363,,37.93%,,,,,,,,,,,,,,,,,,,,,,,
Nesquehoning Borough - West,"1,119",409,,36.55%,,,,,,,,,,,,,,,,,,,,,,,
Packer Township,749,345,,46.06%,,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - East,"1,153",490,,42.50%,,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - Middle,"1,783",630,,35.33%,,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - West,617,187,,30.31%,,,,,,,,,,,,,,,,,,,,,,,
Parryville Borough,294,106,,36.05%,,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Southwest,"1,369",623,,45.51%,,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Northwest,"1,712",627,,36.62%,,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Middle,"1,187",369,,31.09%,,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Northeast,"1,771",552,,31.17%,,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - East,"1,696",447,,26.36%,,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - First Ward,522,222,,42.53%,,,,,,,,,,,,,,,,,,,,,,,
Precinct,"Registered
Voters",Voters Cast,,% Turnout,,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Second Ward,542,234,,43.17%,,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Third Ward/First,686,241,,35.13%,,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Third Ward/Second,365,170,,46.58%,,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - North,"1,183",476,,40.24%,,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - South-1,"1,162",460,,39.59%,,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - South-2,"1,027",440,,42.84%,,,,,,,,,,,,,,,,,,,,,,,
Weatherly Borough - East,"1,041",394,,37.85%,,,,,,,,,,,,,,,,,,,,,,,
Weatherly Borough - West,526,202,,38.40%,,,,,,,,,,,,,,,,,,,,,,,
Weissport Borough,230,76,,33.04%,,,,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,"44,851","17,287",,38.54%,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,0,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,0,,N/A,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,"44,851","17,287",,38.54%,,,,,,,,,,,,,,,,,,,,,,,
Judge of the Superior Court (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,BRANDON NEUMAN (DEM),,,,MARIA BATTISTA (REP),,,,,,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Banks Township,248,630,,,,,,,,Banks Township,,,,109,,47.19%,,115,,,49.78%,,,,,,
Beaver Meadows Borough,186,609,,,,,,,,Beaver Meadows Borough,,,,55,,32.16%,,114,,,66.67%,,,,,,
Bowmanstown Borough,219,555,,,,,,,,Bowmanstown Borough,,,,87,,40.47%,,120,,,55.81%,,,,,,
East Penn Township - South,388,987,,,,,,,,East Penn Township - South,,,,116,,30.53%,,256,,,67.37%,,,,,,
East Penn Township - North,482,"1,049",,,,,,,,East Penn Township - North,,,,134,,28.39%,,328,,,69.49%,,,,,,
East Side Borough,77,163,,,,,,,,East Side Borough,,,,34,,45.95%,,40,,,54.05%,,,,,,
Franklin Township - Independent,298,811,,,,,,,,Franklin Township - Independent,,,,95,,33.33%,,183,,,64.21%,,,,,,
Franklin Township - Harrity,551,"1,263",,,,,,,,Franklin Township - Harrity,,,,194,,36.47%,,328,,,61.65%,,,,,,
Franklin Township - Long Run,432,"1,042",,,,,,,,Franklin Township - Long Run,,,,120,,28.50%,,292,,,69.36%,,,,,,
Jim Thorpe Borough - First Ward,296,693,,,,,,,,Jim Thorpe Borough - First Ward,,,,139,,50.73%,,124,,,45.26%,,,,,,
Jim Thorpe Borough - Second Ward,210,507,,,,,,,,Jim Thorpe Borough - Second Ward,,,,94,,49.47%,,91,,,47.89%,,,,,,
Jim Thorpe Borough - Third Ward,465,916,,,,,,,,Jim Thorpe Borough - Third Ward,,,,184,,42.49%,,242,,,55.89%,,,,,,
Jim Thorpe Borough - Fourth Ward,159,359,,,,,,,,Jim Thorpe Borough - Fourth Ward,,,,89,,60.14%,,54,,,36.49%,,,,,,
Jim Thorpe Borough - Fifth Ward,358,794,,,,,,,,Jim Thorpe Borough - Fifth Ward,,,,169,,50.00%,,161,,,47.63%,,,,,,
Kidder Township - North,177,415,,,,,,,,Kidder Township - North,,,,84,,48.00%,,87,,,49.71%,,,,,,
Kidder Township - South,353,"1,022",,,,,,,,Kidder Township - South,,,,124,,35.94%,,216,,,62.61%,,,,,,
Lansford Borough - East,340,"1,049",,,,,,,,Lansford Borough - East,,,,129,,40.06%,,187,,,58.07%,,,,,,
Lansford Borough - Middle,213,646,,,,,,,,Lansford Borough - Middle,,,,78,,39.39%,,118,,,59.60%,,,,,,
Lansford Borough - West,175,615,,,,,,,,Lansford Borough - West,,,,77,,48.73%,,75,,,47.47%,,,,,,
Lausanne Township,67,179,,,,,,,,Lausanne Township,,,,22,,35.48%,,39,,,62.90%,,,,,,
Lehigh Township,117,342,,,,,,,,Lehigh Township,,,,23,,21.30%,,79,,,73.15%,,,,,,
Lehighton Borough - First Ward,400,"1,155",,,,,,,,Lehighton Borough - First Ward,,,,180,,46.75%,,196,,,50.91%,,,,,,
Precinct,DANIEL WASSMER (LIB),,Total Votes,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks Township,7,3.03%,231,,0,,,,,,,,,,,,,,,,,,,,,,
Beaver Meadows Borough,2,1.17%,171,,0,,,,,,,,,,,,,,,,,,,,,,
Bowmanstown Borough,8,3.72%,215,,0,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - South,8,2.11%,380,,0,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - North,10,2.12%,472,,0,,,,,,,,,,,,,,,,,,,,,,
East Side Borough,0,0.00%,74,,0,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Independent,7,2.46%,285,,0,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Harrity,10,1.88%,532,,0,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Long Run,9,2.14%,421,,0,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - First Ward,11,4.01%,274,,0,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Second Ward,5,2.63%,190,,0,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Third Ward,7,1.62%,433,,0,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fourth Ward,5,3.38%,148,,0,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fifth Ward,8,2.37%,338,,0,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - North,4,2.29%,175,,0,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - South,5,1.45%,345,,0,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - East,6,1.86%,322,,0,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - Middle,2,1.01%,198,,0,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - West,6,3.80%,158,,0,,,,,,,,,,,,,,,,,,,,,,
Lausanne Township,1,1.61%,62,,0,,,,,,,,,,,,,,,,,,,,,,
Lehigh Township,6,5.56%,108,,0,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - First Ward,9,2.34%,385,,0,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,BRANDON NEUMAN (DEM),,,,MARIA BATTISTA (REP),,,,,,,,,
Lehighton Borough - Second Ward,414,"1,039",,,,,,,,Lehighton Borough - Second Ward,,,,184,,46.70%,,194,,,49.24%,,,,,,
Lehighton Borough - Third Ward,401,"1,098",,,,,,,,Lehighton Borough - Third Ward,,,,175,,45.93%,,196,,,51.44%,,,,,,
Lower Towamensing Township - North,492,"1,305",,,,,,,,Lower Towamensing Township - North,,,,171,,35.92%,,298,,,62.61%,,,,,,
Lower Towamensing Township - South,373,923,,,,,,,,Lower Towamensing Township - South,,,,146,,40.11%,,208,,,57.14%,,,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,281,,35.57%,,495,,,62.66%,,,,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,85,,27.16%,,220,,,70.29%,,,,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,77,,40.74%,,107,,,56.61%,,,,,,
Nesquehoning Borough - East,363,957,,,,,,,,Nesquehoning Borough - East,,,,150,,43.86%,,183,,,53.51%,,,,,,
Nesquehoning Borough - West,409,"1,119",,,,,,,,Nesquehoning Borough - West,,,,184,,47.18%,,203,,,52.05%,,,,,,
Packer Township,345,749,,,,,,,,Packer Township,,,,61,,18.43%,,265,,,80.06%,,,,,,
Palmerton Borough - East,490,"1,153",,,,,,,,Palmerton Borough - East,,,,198,,41.86%,,266,,,56.24%,,,,,,
Palmerton Borough - Middle,630,"1,783",,,,,,,,Palmerton Borough - Middle,,,,306,,50.00%,,294,,,48.04%,,,,,,
Palmerton Borough - West,187,617,,,,,,,,Palmerton Borough - West,,,,66,,36.07%,,115,,,62.84%,,,,,,
Parryville Borough,106,294,,,,,,,,Parryville Borough,,,,38,,36.89%,,64,,,62.14%,,,,,,
Penn Forest Township - Southwest,623,"1,369",,,,,,,,Penn Forest Township - Southwest,,,,249,,40.95%,,347,,,57.07%,,,,,,
Penn Forest Township - Northwest,627,"1,712",,,,,,,,Penn Forest Township - Northwest,,,,241,,39.25%,,359,,,58.47%,,,,,,
Penn Forest Township - Middle,369,"1,187",,,,,,,,Penn Forest Township - Middle,,,,153,,41.92%,,199,,,54.52%,,,,,,
Penn Forest Township - Northeast,552,"1,771",,,,,,,,Penn Forest Township - Northeast,,,,237,,43.09%,,303,,,55.09%,,,,,,
Penn Forest Township - East,447,"1,696",,,,,,,,Penn Forest Township - East,,,,209,,47.83%,,215,,,49.20%,,,,,,
Summit Hill Borough - First Ward,222,522,,,,,,,,Summit Hill Borough - First Ward,,,,113,,54.33%,,93,,,44.71%,,,,,,
Summit Hill Borough - Second Ward,234,542,,,,,,,,Summit Hill Borough - Second Ward,,,,123,,55.91%,,93,,,42.27%,,,,,,
Precinct,DANIEL WASSMER (LIB),,Total Votes,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - Second Ward,16,4.06%,394,,0,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - Third Ward,10,2.62%,381,,0,,,,,,,,,,,,,,,,,,,,,,
Lower Towamensing Township - North,7,1.47%,476,,0,,,,,,,,,,,,,,,,,,,,,,
Lower Towamensing Township - South,10,2.75%,364,,0,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Mahoning,14,1.77%,790,,0,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - New Mahoning,8,2.56%,313,,0,,,,,,,,,,,,,,,,,,,,,,
Mahoning Township - Packerton/Jamestown,5,2.65%,189,,0,,,,,,,,,,,,,,,,,,,,,,
Nesquehoning Borough - East,9,2.63%,342,,0,,,,,,,,,,,,,,,,,,,,,,
Nesquehoning Borough - West,3,0.77%,390,,0,,,,,,,,,,,,,,,,,,,,,,
Packer Township,5,1.51%,331,,0,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - East,9,1.90%,473,,0,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - Middle,12,1.96%,612,,0,,,,,,,,,,,,,,,,,,,,,,
Palmerton Borough - West,2,1.09%,183,,0,,,,,,,,,,,,,,,,,,,,,,
Parryville Borough,1,0.97%,103,,0,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Southwest,12,1.97%,608,,0,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Northwest,14,2.28%,614,,0,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Middle,13,3.56%,365,,0,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - Northeast,10,1.82%,550,,0,,,,,,,,,,,,,,,,,,,,,,
Penn Forest Township - East,13,2.97%,437,,0,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - First Ward,2,0.96%,208,,0,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Second Ward,4,1.82%,220,,0,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,BRANDON NEUMAN (DEM),,,,MARIA BATTISTA (REP),,,,,,,,,
Summit Hill Borough - Third Ward/First,241,686,,,,,,,,Summit Hill Borough - Third Ward/First,,,,106,,46.90%,,116,,,51.33%,,,,,,
Summit Hill Borough - Third Ward/Second,170,365,,,,,,,,Summit Hill Borough - Third Ward/Second,,,,66,,40.99%,,93,,,57.76%,,,,,,
Towamensing Township - North,476,"1,183",,,,,,,,Towamensing Township - North,,,,187,,39.96%,,276,,,58.97%,,,,,,
Towamensing Township - South-1,460,"1,162",,,,,,,,Towamensing Township - South-1,,,,139,,31.45%,,295,,,66.74%,,,,,,
Towamensing Township - South-2,440,"1,027",,,,,,,,Towamensing Township - South-2,,,,151,,35.36%,,269,,,63.00%,,,,,,
Weatherly Borough - East,394,"1,041",,,,,,,,Weatherly Borough - East,,,,127,,34.05%,,235,,,63.00%,,,,,,
Weatherly Borough - West,202,526,,,,,,,,Weatherly Borough - West,,,,58,,30.53%,,124,,,65.26%,,,,,,
Weissport Borough,76,230,,,,,,,,Weissport Borough,,,,22,,33.85%,,41,,,63.08%,,,,,,
Carbon County - Total,"17,287","44,851",,,,,,,,Carbon County - Total,,,,"6,639",,39.97%,,"9,611",,,57.86%,,,,,,
Cumulative,,,,,,,,,,Cumulative,,,,,,,,,,,,,,,,,
Cumulative,0,0,,,,,,,,Cumulative,,,,0,,,,0,,,,,,,,,
Cumulative - Total,0,0,,,,,,,,Cumulative - Total,,,,0,,,,0,,,,,,,,,
CARBON COUNTY - Total,"17,287","44,851",,,,,,,,CARBON COUNTY - Total,,,,"6,639",,39.97%,,"9,611",,,57.86%,,,,,,
Precinct,DANIEL WASSMER (LIB),,Total Votes,,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Third Ward/First,4,1.77%,226,,0,,,,,,,,,,,,,,,,,,,,,,
Summit Hill Borough - Third Ward/Second,2,1.24%,161,,0,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - North,5,1.07%,468,,0,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - South-1,8,1.81%,442,,0,,,,,,,,,,,,,,,,,,,,,,
Towamensing Township - South-2,7,1.64%,427,,0,,,,,,,,,,,,,,,,,,,,,,
Weatherly Borough - East,11,2.95%,373,,0,,,,,,,,,,,,,,,,,,,,,,
Weatherly Borough - West,8,4.21%,190,,0,,,,,,,,,,,,,,,,,,,,,,
Weissport Borough,2,3.08%,65,,0,,,,,,,,,,,,,,,,,,,,,,
Carbon County - Total,362,2.18%,"16,612",,0,,,,,,,,,,,,,,,,,,,,,,
Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
Cumulative - Total,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY - Total,362,2.18%,"16,612",,0,,,,,,,,,,,,,,,,,,,,,,
Judge of the Commonwealth Court (Vote for  1)   **** - Insufficient Turnout to Protect Voter Privacy,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,STELLA TSAI (DEM),,,,MATT WOLFORD (REP),,,,,Total Votes,,,,
CARBON COUNTY,,,,,,,,,,CARBON COUNTY,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,Carbon County,,,,,,,,,,,,,,,,,
Banks Township,248,630,,,,,,,,Banks Township,,,,108,,47.79%,,118,,,52.21%,,226,,,,
Beaver Meadows Borough,186,609,,,,,,,,Beaver Meadows Borough,,,,59,,33.71%,,116,,,66.29%,,175,,,,
Bowmanstown Borough,219,555,,,,,,,,Bowmanstown Borough,,,,87,,40.28%,,129,,,59.72%,,216,,,,
East Penn Township - South,388,987,,,,,,,,East Penn Township - South,,,,123,,32.45%,,256,,,67.55%,,379,,,,
East Penn Township - North,482,"1,049",,,,,,,,East Penn Township - North,,,,139,,29.70%,,329,,,70.30%,,468,,,,
East Side Borough,77,163,,,,,,,,East Side Borough,,,,31,,42.47%,,42,,,57.53%,,73,,,,
Franklin Township - Independent,298,811,,,,,,,,Franklin Township - Independent,,,,95,,33.69%,,187,,,66.31%,,282,,,,
Franklin Township - Harrity,551,"1,263",,,,,,,,Franklin Township - Harrity,,,,198,,37.15%,,335,,,62.85%,,533,,,,
Franklin Township - Long Run,432,"1,042",,,,,,,,Franklin Township - Long Run,,,,132,,31.35%,,289,,,68.65%,,421,,,,
Jim Thorpe Borough - First Ward,296,693,,,,,,,,Jim Thorpe Borough - First Ward,,,,150,,55.15%,,122,,,44.85%,,272,,,,
Jim Thorpe Borough - Second Ward,210,507,,,,,,,,Jim Thorpe Borough - Second Ward,,,,98,,50.52%,,96,,,49.48%,,194,,,,
Jim Thorpe Borough - Third Ward,465,916,,,,,,,,Jim Thorpe Borough - Third Ward,,,,181,,42.39%,,246,,,57.61%,,427,,,,
Jim Thorpe Borough - Fourth Ward,159,359,,,,,,,,Jim Thorpe Borough - Fourth Ward,,,,96,,64.86%,,52,,,35.14%,,148,,,,
Jim Thorpe Borough - Fifth Ward,358,794,,,,,,,,Jim Thorpe Borough - Fifth Ward,,,,174,,52.10%,,160,,,47.90%,,334,,,,
Kidder Township - North,177,415,,,,,,,,Kidder Township - North,,,,86,,49.71%,,87,,,50.29%,,173,,,,
Kidder Township - South,353,"1,022",,,,,,,,Kidder Township - South,,,,128,,37.10%,,217,,,62.90%,,345,,,,
Lansford Borough - East,340,"1,049",,,,,,,,Lansford Borough - East,,,,131,,40.43%,,193,,,59.57%,,324,,,,
Lansford Borough - Middle,213,646,,,,,,,,Lansford Borough - Middle,,,,79,,39.70%,,120,,,60.30%,,199,,,,
Lansford Borough - West,175,615,,,,,,,,Lansford Borough - West,,,,76,,49.35%,,78,,,50.65%,,154,,,,
Lausanne Township,67,179,,,,,,,,Lausanne Township,,,,23,,37.10%,,39,,,62.90%,,62,,,,
Lehigh Township,117,342,,,,,,,,Lehigh Township,,,,27,,25.00%,,81,,,75.00%,,108,,,,
Lehighton Borough - First Ward,400,"1,155",,,,,,,,Lehighton Borough - First Ward,,,,181,,47.38%,,201,,,52.62%,,382,,,,
Precinct,"JOSHUA PRINCE
Qualified Write In",,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks Township,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Beaver Meadows Borough,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Bowmanstown Borough,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - South,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - North,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
East Side Borough,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Independent,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Harrity,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Long Run,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - First Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Second Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Third Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fourth Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fifth Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - North,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - South,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - East,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - Middle,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - West,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lausanne Township,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lehigh Township,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - First Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,Times Cast,Registered Voters,,,,,,,,Precinct,,,,STELLA TSAI (DEM),,,,MATT WOLFORD (REP),,,,,Total Votes,,,,
Lehighton Borough - Second Ward,414,"1,039",,,,,,,,Lehighton Borough - Second Ward,,,,191,,49.10%,,198,,,50.90%,,389,,,,
Lehighton Borough - Third Ward,401,"1,098",,,,,,,,Lehighton Borough - Third Ward,,,,183,,48.80%,,192,,,51.20%,,375,,,,
Lower Towamensing Township - North,492,"1,305",,,,,,,,Lower Towamensing Township - North,,,,175,,36.76%,,301,,,63.24%,,476,,,,
Lower Towamensing Township - South,373,923,,,,,,,,Lower Towamensing Township - South,,,,149,,41.39%,,211,,,58.61%,,360,,,,
Mahoning Township - Mahoning,813,"1,755",,,,,,,,Mahoning Township - Mahoning,,,,280,,35.99%,,498,,,64.01%,,778,,,,
Mahoning Township - New Mahoning,325,671,,,,,,,,Mahoning Township - New Mahoning,,,,88,,28.21%,,224,,,71.79%,,312,,,,
Mahoning Township - Packerton/Jamestown,195,568,,,,,,,,Mahoning Township - Packerton/Jamestown,,,,80,,42.11%,,110,,,57.89%,,190,,,,
Nesquehoning Borough - East,363,957,,,,,,,,Nesquehoning Borough - East,,,,156,,45.88%,,184,,,54.12%,,340,,,,
Nesquehoning Borough - West,409,"1,119",,,,,,,,Nesquehoning Borough - West,,,,179,,46.37%,,207,,,53.63%,,386,,,,
Packer Township,345,749,,,,,,,,Packer Township,,,,58,,17.74%,,269,,,82.26%,,327,,,,
Palmerton Borough - East,490,"1,153",,,,,,,,Palmerton Borough - East,,,,197,,41.65%,,276,,,58.35%,,473,,,,
Palmerton Borough - Middle,630,"1,783",,,,,,,,Palmerton Borough - Middle,,,,311,,51.07%,,298,,,48.93%,,609,,,,
Palmerton Borough - West,187,617,,,,,,,,Palmerton Borough - West,,,,70,,38.25%,,113,,,61.75%,,183,,,,
Parryville Borough,106,294,,,,,,,,Parryville Borough,,,,32,,31.07%,,71,,,68.93%,,103,,,,
Penn Forest Township - Southwest,623,"1,369",,,,,,,,Penn Forest Township - Southwest,,,,258,,43.00%,,342,,,57.00%,,600,,,,
Penn Forest Township - Northwest,627,"1,712",,,,,,,,Penn Forest Township - Northwest,,,,243,,40.03%,,364,,,59.97%,,607,,,,
Penn Forest Township - Middle,369,"1,187",,,,,,,,Penn Forest Township - Middle,,,,165,,45.21%,,200,,,54.79%,,365,,,,
Penn Forest Township - Northeast,552,"1,771",,,,,,,,Penn Forest Township - Northeast,,,,247,,45.40%,,297,,,54.60%,,544,,,,
Penn Forest Township - East,447,"1,696",,,,,,,,Penn Forest Township - East,,,,220,,50.11%,,219,,,49.89%,,439,,,,
Summit Hill Borough - First Ward,222,522,,,,,,,,Summit Hill Borough - First Ward,,,,110,,53.40%,,96,,,46.60%,,206,,,,
Summit Hill Borough - Second Ward,234,542,,,,,,,,Summit Hill Borough - Second Ward,,,,126,,57.80%,,92,,,42.20%,,218,,,,
Precinct,"JOSHUA PRINCE
Qualified Write In",,Unresolved Write-In,,,,,,,,,,,,,,,,,,,,,,,,
Lehighton Borough - Second Ward,0,0.00%,0,,,,,,,,,,,,,,,,,,,,,,,,
