Precinct,"Registered
Voters",Voters Cast,,% Turnout,,,,,,,,,,,,,,,,,,,,,,,
CARBON COUNTY,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon County,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banks Township,630,248,,39.37%,,,,,,,,,,,,,,,,,,,,,,,
Beaver Meadows Borough,609,186,,30.54%,,,,,,,,,,,,,,,,,,,,,,,
Bowmanstown Borough,555,219,,39.46%,,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - South,987,388,,39.31%,,,,,,,,,,,,,,,,,,,,,,,
East Penn Township - North,"1,049",482,,45.95%,,,,,,,,,,,,,,,,,,,,,,,
East Side Borough,163,77,,47.24%,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Independent,811,298,,36.74%,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Harrity,"1,263",551,,43.63%,,,,,,,,,,,,,,,,,,,,,,,
Franklin Township - Long Run,"1,042",432,,41.46%,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - First Ward,693,296,,42.71%,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Second Ward,507,210,,41.42%,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Third Ward,916,465,,50.76%,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fourth Ward,359,159,,44.29%,,,,,,,,,,,,,,,,,,,,,,,
Jim Thorpe Borough - Fifth Ward,794,358,,45.09%,,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - North,415,177,,42.65%,,,,,,,,,,,,,,,,,,,,,,,
Kidder Township - South,"1,022",353,,34.54%,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - East,"1,049",340,,32.41%,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - Middle,646,213,,32.97%,,,,,,,,,,,,,,,,,,,,,,,
Precinct,"Registered
Voters",Voters Cast,,% Turnout,,,,,,,,,,,,,,,,,,,,,,,
Lansford Borough - West,615,175,,28.46%,,,,,,,,,,,,,,,,,,,,,,,
