Unofficial Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"MAGISTERIAL DISTRICT JUDGE 31-1-02","DAR Rashid Santiago","DAR","566","1526","14","2106","9","9","2589","0","1"
"MAGISTERIAL DISTRICT JUDGE 31-1-07","DAR Todd P Heffelfinger","DAR","2002","4349","18","6369","14","14","7914","0","1"
"MAGISTERIAL DISTRICT JUDGE 31-2-02","DEM Derek A Kirsopp","DEM","2741","3609","33","6383","14","14","12627","0","1"
"MAGISTERIAL DISTRICT JUDGE 31-2-02","REP Jake Hammond","REP","1288","4752","17","6057","14","14","12627","0","1"
"MAGISTERIAL DISTRICT JUDGE 31-3-03","DAR Daniel Trexler","DAR","4517","9635","57","14209","17","17","17068","0","1"
"ALLENTOWN MAYOR","DEM Matt Tuerk","DEM","3834","8168","116","12118","58","58","17085","0","1"
"ALLENTOWN MAYOR","REP Ed Zucal","REP","986","3658","28","4672","58","58","17085","0","1"
"ALLENTOWN CITY COUNCIL","DEM Cynthia Y Mota","DEM","3622","7471","96","11189","58","58","17085","0","4"
"ALLENTOWN CITY COUNCIL","DEM Jeremy Binder","DEM","3505","6522","89","10116","58","58","17085","0","4"
"ALLENTOWN CITY COUNCIL","DEM Natalie Santos","DEM","3313","6413","96","9822","58","58","17085","0","4"
"ALLENTOWN CITY COUNCIL","DEM Cristian Pungo","DEM","3236","5763","76","9075","58","58","17085","0","4"
"BETHLEHEM MAYOR","DEM J William Reynolds","DEM","1396","2945","24","4365","12","12","5546","0","1"
"BETHLEHEM CITY COUNCIL","DEM Rachel Leon","DEM","1268","2526","22","3816","12","12","5546","0","4"
"BETHLEHEM CITY COUNCIL","DEM Hillary G Kwiatek","DEM","1216","2263","18","3497","12","12","5546","0","4"
"BETHLEHEM CITY COUNCIL","DEM Justin Amann","DEM","1169","2224","18","3411","12","12","5546","0","4"
"BETHLEHEM CITY COUNCIL","DEM Jo Daniels","DEM","1161","2151","17","3329","12","12","5546","0","4"
"BETHLEHEM CITY COUNCIL","REP Joseph F Poplawski","REP","354","1249","2","1605","12","12","5546","0","4"
"BETHLEHEM CITY CONTROLLER","DEM George Yasso","DEM","1437","3018","24","4479","12","12","5546","0","1"
"ALBURTIS MAYOR","DEM Hector Moss","DEM","102","355","2","459","1","1","852","0","1"
"ALBURTIS MAYOR","REP David Kutzor","REP","16","166","1","183","1","1","852","0","1"
"CATASAUQUA MAYOR","DEM Anthony Alcalde","DEM","276","518","1","795","3","3","1528","0","1"
"CATASAUQUA MAYOR","REP Samuel Safadi","REP","103","613","2","718","3","3","1528","0","1"
"COOPERSBURG MAYOR","REP Gary Hovis","REP","138","534","0","672","1","1","889","0","1"
"COPLAY MAYOR","REP Joseph J Bundra","REP","132","567","0","699","2","2","907","0","1"
"EMMAUS MAYOR","DAR Lee Ann Gilbert","DAR","878","2329","20","3227","6","6","3810","0","1"
"FOUNTAIN HILL MAYOR","DEM Michael Johnson","DEM","269","620","6","895","3","3","1104","0","1"
"MACUNGIE MAYOR","REP Bob Sell Jr","REP","137","518","1","656","1","1","1023","0","1"
"SLATINGTON MAYOR","REP Jeralyn Walters Schoch","REP","111","514","0","625","3","3","826","0","1"
"ALBURTIS BOROUGH COUNCIL","DEM Michael Gerhart","DEM","136","394","2","532","1","1","852","0","3"
"ALBURTIS BOROUGH COUNCIL","REP Steven R Hill","REP","75","385","1","461","1","1","852","0","3"
"ALBURTIS BOROUGH COUNCIL","REP John J Aleszczyk Jr","REP","61","299","1","361","1","1","852","0","3"
"CATASAUQUA BOROUGH COUNCIL","DAR Tara Nicholas","DAR","282","690","3","975","3","3","1528","0","3"
"CATASAUQUA BOROUGH COUNCIL","DAR Howard Cunningham","DAR","211","529","2","742","3","3","1528","0","3"
"CATASAUQUA BOROUGH COUNCIL","REP Robert Zakos","REP","127","549","1","677","3","3","1528","0","3"
"CATASAUQUA BOROUGH COUNCIL","NOF David Bernini","NOF","180","461","0","641","3","3","1528","0","3"
"COOPERSBURG BOROUGH COUNCIL","DEM Paul A McAndrew","DEM","158","408","4","570","1","1","889","0","4"
"COOPERSBURG BOROUGH COUNCIL","DEM Glenn S Laverty IV","DEM","152","363","3","518","1","1","889","0","4"
"COOPERSBURG BOROUGH COUNCIL","REP Eric K Dowdle","REP","77","384","0","461","1","1","889","0","4"
"COOPERSBURG BOROUGH COUNCIL","REP Christine Norman","REP","78","374","0","452","1","1","889","0","4"
"COPLAY BOROUGH COUNCIL","DEM Timothy Grohotolsky","DEM","144","444","1","589","2","2","907","0","4"
"COPLAY BOROUGH COUNCIL","DEM Louis L Bodish","DEM","138","421","1","560","2","2","907","0","4"
"COPLAY BOROUGH COUNCIL","DEM Michael Dee","DEM","134","392","1","527","2","2","907","0","4"
"EMMAUS BOROUGH COUNCIL - 4YR","DEM Megan Brehm","DEM","793","1549","18","2360","6","6","3810","0","3"
"EMMAUS BOROUGH COUNCIL - 4YR","DAR Roy Anders Jr","DAR","688","1300","10","1998","6","6","3810","0","3"
"EMMAUS BOROUGH COUNCIL - 4YR","DAR Chris A DeFrain","DAR","720","1568","9","2297","6","6","3810","0","3"
"EMMAUS BOROUGH COUNCIL - 4YR","REP Neil Valois","REP","231","1150","4","1385","6","6","3810","0","3"
"EMMAUS BOROUGH COUNCIL - 2YR","DAR Brent Labenberg","DAR","829","2270","19","3118","6","6","3810","0","1"
"FOUNTAIN HILL BOROUGH COUNCIL","DEM Joanna Ireland","DEM","251","553","6","810","3","3","1104","0","4"
"FOUNTAIN HILL BOROUGH COUNCIL","DEM Norman E Blatt Jr","DEM","233","427","3","663","3","3","1104","0","4"
"FOUNTAIN HILL BOROUGH COUNCIL","REP Philip Trabel","REP","92","248","3","343","3","3","1104","0","4"
"FOUNTAIN HILL BOROUGH COUNCIL","REP Stewart L McCandless","REP","99","262","4","365","3","3","1104","0","4"
"MACUNGIE BOROUGH COUNCIL","REP Gregory Reinbold","REP","109","402","0","511","1","1","1023","0","4"
"MACUNGIE BOROUGH COUNCIL","REP Gregory A Hutchison","REP","104","402","0","506","1","1","1023","0","4"
"MACUNGIE BOROUGH COUNCIL","REP Megan Sell","REP","119","453","0","572","1","1","1023","0","4"
"SLATINGTON BOROUGH COUNCIL - 4YR","DAR Robert Krebs","DAR","136","339","1","476","3","3","826","0","3"
"SLATINGTON BOROUGH COUNCIL - 4YR","REP Aaron Schoch","REP","58","356","0","414","3","3","826","0","3"
"SLATINGTON BOROUGH COUNCIL - 4YR","REP William M Schippers","REP","58","311","0","369","3","3","826","0","3"
"SLATINGTON BOROUGH COUNCIL - 2YR","DEM Andreas Hassold","DEM","130","291","1","422","3","3","826","0","1"
"SLATINGTON BOROUGH COUNCIL - 2YR","REP Aaron Schoch","REP","45","325","0","370","3","3","826","0","1"
"HANOVER TOWNSHIP COUNCIL","DEM Bruce E Paulus","DEM","75","133","1","209","1","1","307","0","3"
"HANOVER TOWNSHIP COUNCIL","REP Robert Lawlor","REP","25","93","0","118","1","1","307","0","3"
"HANOVER TOWNSHIP COUNCIL","REP Bob Heimbecker","REP","28","87","0","115","1","1","307","0","3"
"HEIDELBERG TOWNSHIP SUPERVISOR","DAR Jonathan Jakum","DAR","189","597","2","788","1","1","978","0","1"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","DEM Stefanie Rafes","DEM","2450","3266","30","5746","10","10","11453","0","3"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","DEM Melissa Bosak","DEM","2321","3048","24","5393","10","10","11453","0","3"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","DEM Wesley Barrett","DEM","2665","3852","22","6539","10","10","11453","0","3"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","REP Brian L Shoemaker","REP","1176","3578","20","4774","10","10","11453","0","3"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","REP Brian P Higgins","REP","1281","3691","22","4994","10","10","11453","0","3"
"LOWER MACUNGIE TOWNSHIP COMMISSIONER","REP Matthew S Guglielmello","REP","875","2877","19","3771","10","10","11453","0","3"
"LOWER MILFORD TOWNSHIP SUPERVISOR","DEM Mike Falcaro","DEM","262","301","0","563","1","1","1607","0","1"
"LOWER MILFORD TOWNSHIP SUPERVISOR","REP Susan L LaBrie","REP","133","590","2","725","1","1","1607","0","1"
"LOWHILL TOWNSHIP SUPERVISOR","REP John J Iannantuono","REP","121","446","1","568","1","1","776","0","1"
"LYNN TOWNSHIP SUPERVISOR","DAR Ronald Jerdon","DAR","197","740","2","939","3","3","1548","0","1"
"NORTH WHITEHALL TOWNSHIP SUPERVISOR","DEM Margaret Kane Forgosh","DEM","994","1449","10","2453","6","6","5233","0","1"
"NORTH WHITEHALL TOWNSHIP SUPERVISOR","REP Richard L Semmel","REP","446","2269","8","2723","6","6","5233","0","1"
"SALISBURY TOWNSHIP COMMISSIONER - 2W","REP Alexander Karol","REP","138","368","2","508","1","1","776","0","1"
"SOUTH WHITEHALL TOWNSHIP COMMISSIONER","DEM Sharon Fehlinger Ricker","DEM","1753","2223","21","3997","8","8","7394","0","2"
"SOUTH WHITEHALL TOWNSHIP COMMISSIONER","DEM Glenn Guanowsky","DEM","1615","1852","16","3483","8","8","7394","0","2"
"SOUTH WHITEHALL TOWNSHIP COMMISSIONER","REP Monica Hodges","REP","820","2329","8","3157","8","8","7394","0","2"
"SOUTH WHITEHALL TOWNSHIP COMMISSIONER","REP Chris Peischl","REP","730","2137","5","2872","8","8","7394","0","2"
"UPPER MACUNGIE TOWNSHIP SUPERVISOR","DEM Julien Godbarge","DEM","2044","2767","38","4849","8","8","7709","0","1"
"UPPER MACUNGIE TOWNSHIP SUPERVISOR","REP Patrick Foose","REP","677","2100","7","2784","8","8","7709","0","1"
"UPPER MILFORD TOWNSHIP SUPERVISOR","DAR Daniel J Mohr","DAR","963","1645","6","2614","2","2","3094","0","1"
"UPPER SAUCON TOWNSHIP SUPERVISOR","DEM Nicole Dolan","DEM","1604","1930","13","3547","6","6","6645","0","1"
"UPPER SAUCON TOWNSHIP SUPERVISOR","REP Philip Spaeth","REP","603","2411","12","3026","6","6","6645","0","1"
"WASHINGTON TOWNSHIP SUPERVISOR","DEM Robert J Schramel","DEM","274","810","7","1091","3","3","2038","0","1"
"WASHINGTON TOWNSHIP SUPERVISOR","REP Josh B Friebolin","REP","159","760","1","920","3","3","2038","0","1"
"WEISENBERG TOWNSHIP SUPERVISOR","REP Richard A Bleiler","REP","315","1109","4","1428","1","1","1832","0","1"
"WHITEHALL TOWNSHIP COMMISSIONER","DEM Taylor Stakes","DEM","1463","2428","13","3904","12","12","7007","0","3"
"WHITEHALL TOWNSHIP COMMISSIONER","DEM Thomas Slonaker","DEM","1408","2029","9","3446","12","12","7007","0","3"
"WHITEHALL TOWNSHIP COMMISSIONER","REP Lee A Christman","REP","619","2117","7","2743","12","12","7007","0","3"
"WHITEHALL TOWNSHIP COMMISSIONER","REP Paul Moat","REP","491","1757","6","2254","12","12","7007","0","3"
"WHITEHALL TOWNSHIP COMMISSIONER","REP LoriAnn Fehnel","REP","508","1397","5","1910","12","12","7007","0","3"
"ALBURTIS TAX COLLECTOR","DEM Samantha Trexler","DEM","149","603","3","755","1","1","852","0","1"
"CATASAUQUA TAX COLLECTOR","DEM Stacy A Zellner","DEM","218","532","2","752","3","3","1528","0","1"
"CATASAUQUA TAX COLLECTOR","REP James Delbertis","REP","159","601","1","761","3","3","1528","0","1"
"COOPERSBURG TAX COLLECTOR","REP Kristina Bealer","REP","136","542","0","678","1","1","889","0","1"
"COPLAY TAX COLLECTOR","DAR Jeffry P Deutsch","DAR","176","655","1","832","2","2","907","0","1"
"EMMAUS TAX COLLECTOR","DEM Kathleen Mintzer","DEM","777","1556","17","2350","6","6","3810","0","1"
"EMMAUS TAX COLLECTOR","REP Paulette Labenberg","REP","194","1018","2","1214","6","6","3810","0","1"
"FOUNTAIN HILL TAX COLLECTOR","DEM Thomas J Redding Jr","DEM","282","647","6","935","3","3","1104","0","1"
"MACUNGIE TAX COLLECTOR","REP Melanie Carwell","REP","143","558","0","701","1","1","1023","0","1"
"SLATINGTON TAX COLLECTOR","REP Jon W Rinker","REP","126","527","0","653","3","3","826","0","1"
"HEIDELBERG TAX COLLECTOR","REP Christopher Dum","REP","122","606","3","731","1","1","978","0","1"
"LOWER MACUNGIE TAX COLLECTOR","REP Lora Walmer","REP","2588","5638","32","8258","10","10","11453","0","1"
"LOWER MILFORD TAX COLLECTOR","REP Jessica Skibicki","REP","354","996","2","1352","1","1","1607","0","1"
"LOWHILL TAX COLLECTOR","REP Joann E Schaffer","REP","113","458","2","573","1","1","776","0","1"
"LYNN TAX COLLECTOR","DAR Mary Ann Metzger","DAR","233","1130","1","1364","3","3","1548","0","1"
"NORTH WHITEHALL TAX COLLECTOR","DAR Donna L Kumernitsky","DAR","1261","3188","13","4462","6","6","5233","0","1"
"SALISBURY TAX COLLECTOR","DAR Tamara Kulik Smarch","DAR","1140","2562","14","3716","8","8","4372","0","1"
"SOUTH WHITEHALL TAX COLLECTOR","DAR Lynn Anne Kocon","DAR","2348","4039","29","6416","8","8","7394","0","1"
"UPPER MACUNGIE TAX COLLECTOR","DEM Barry Hodavance Bellew","DEM","1871","2529","34","4434","8","8","7709","0","1"
"UPPER MACUNGIE TAX COLLECTOR","REP Tracy Hodrick","REP","836","2338","11","3185","8","8","7709","0","1"
"UPPER MILFORD TAX COLLECTOR","REP Philip A Vanim","REP","677","1476","6","2159","2","2","3094","0","1"
"UPPER SAUCON TAX COLLECTOR","REP Deborah Herstine","REP","1540","3413","16","4969","6","6","6645","0","1"
"WASHINGTON TAX COLLECTOR","REP Ashley Wilk","REP","291","1358","3","1652","3","3","2038","0","1"
"WEISENBERG TAX COLLECTOR","REP Jeffrey M Strauss","REP","362","1160","4","1526","1","1","1832","0","1"
"WHITEHALL TAX COLLECTOR","DAR Tina J Koren","DAR","1786","3781","17","5584","12","12","7007","0","1"
"HEIDELBERG AUDITOR - 6YR","REP William R Hoffert","REP","121","601","3","725","1","1","978","0","1"
"WEISENBERG AUDITOR","REP George J Gerbino","REP","314","1111","5","1430","1","1","1832","0","1"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Evette D'Amore","DEM","3190","6575","96","9861","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Cereta Johnson","DEM","2893","5591","89","8573","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","DAR Dianne L Michels","DAR","2715","5020","71","7806","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","DEM Denzel Morris","DEM","2800","5116","79","7995","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","REP Robert E Smith Jr","REP","1011","3296","22","4329","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","REP Tom Houck","REP","765","2673","21","3459","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 4YR","REP David F Zimmerman","REP","803","2520","19","3342","55","55","16203","0","4"
"ALLENTOWN SCHOOL DIRECTOR - 2YR","DEM Nick Nicholoff","DEM","3386","7446","103","10935","55","55","16203","0","1"
"ALLENTOWN SCHOOL DIRECTOR - 2YR","REP Robert E Smith Jr","REP","1012","3736","32","4780","55","55","16203","0","1"
"BETHLEHEM SCHOOL DIRECTOR AT LARGE","DAR Shannon L Patrick","DAR","1437","2802","25","4264","15","15","6650","0","3"
"BETHLEHEM SCHOOL DIRECTOR AT LARGE","DAR Michael E Faccinetto","DAR","1354","2457","22","3833","15","15","6650","0","3"
"BETHLEHEM SCHOOL DIRECTOR AT LARGE","DEM Silagh White","DEM","1354","2591","25","3970","15","15","6650","0","3"
"BETHLEHEM SCHOOL DIRECTOR AT LARGE","REP Heather L Christein","REP","379","1399","2","1780","15","15","6650","0","3"
"BETHLEHEM SCHOOL DIRECTOR - REGION I","DEM Winston Alozie","DEM","497","1053","8","1558","5","5","2116","0","1"
"BETHLEHEM SCHOOL DIRECTOR - REGION I","REP Michael Kastelnik","REP","100","392","0","492","5","5","2116","0","1"
"CATASAUQUA SCHOOL DIRECTOR - 4YR","DEM Shawn McGinley","DEM","323","678","2","1003","4","4","1835","0","4"
"CATASAUQUA SCHOOL DIRECTOR - 4YR","DEM Christy Onkotz Cooper","DEM","306","582","2","890","4","4","1835","0","4"
"CATASAUQUA SCHOOL DIRECTOR - 4YR","DAR Dale K Hein","DAR","288","748","2","1038","4","4","1835","0","4"
"CATASAUQUA SCHOOL DIRECTOR - 4YR","DEM Jamie Nattress","DEM","281","517","1","799","4","4","1835","0","4"
"EAST PENN SCHOOL DIRECTOR","DEM Melissa Stiavelli","DEM","4467","6506","48","11021","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","DEM Christine Price","DEM","4544","6539","44","11127","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","DEM Rita Perez","DEM","4086","5598","44","9728","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","DAR William Whitney","DAR","3973","5482","35","9490","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","REP Michael Felegy","REP","1967","6911","33","8911","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","REP Paul Barbehenn","REP","1903","6585","29","8517","20","20","20232","0","4"
"EAST PENN SCHOOL DIRECTOR","REP Alicia Du Plooy","REP","1472","5423","30","6925","20","20","20232","0","4"
"NORTHERN LEHIGH SCHOOL DIRECTOR - 4YR","DAR Angela Williams","DAR","442","1264","4","1710","6","6","2864","0","4"
"NORTHERN LEHIGH SCHOOL DIRECTOR - 4YR","DAR Gary Fedorcha","DAR","403","1113","3","1519","6","6","2864","0","4"
"NORTHERN LEHIGH SCHOOL DIRECTOR - 4YR","DAR Crystal Bilby","DAR","386","1080","2","1468","6","6","2864","0","4"
"NORTHERN LEHIGH SCHOOL DIRECTOR - 4YR","REP Timothy D Weaber","REP","265","1543","1","1809","6","6","2864","0","4"
"NORTHWESTERN LEHIGH SCHOOL DIRECTOR","DAR Lauren Hunsicker","DAR","879","2754","14","3647","6","6","5134","0","4"
"NORTHWESTERN LEHIGH SCHOOL DIRECTOR","DAR Rebecca Hite","DAR","811","2435","14","3260","6","6","5134","0","4"
"NORTHWESTERN LEHIGH SCHOOL DIRECTOR","DAR Jennifer L Senavaitis","DAR","800","2375","14","3189","6","6","5134","0","4"
"NORTHWESTERN LEHIGH SCHOOL DIRECTOR","DAR Todd Hernandez","DAR","804","2556","14","3374","6","6","5134","0","4"
"PARKLAND SCHOOL DIRECTOR","DAR Alyssa Beckwith","DAR","5255","7144","57","12456","24","24","21216","0","4"
"PARKLAND SCHOOL DIRECTOR","DEM Matthew Weimann","DEM","4994","6215","59","11268","24","24","21216","0","4"
"PARKLAND SCHOOL DIRECTOR","DEM Jon Macklin","DEM","4842","5870","53","10765","24","24","21216","0","4"
"PARKLAND SCHOOL DIRECTOR","DAR David J Hein","DAR","4923","6477","46","11446","24","24","21216","0","4"
"PARKLAND SCHOOL DIRECTOR","REP David Caruth","REP","1729","6314","22","8065","24","24","21216","0","4"
"PARKLAND SCHOOL DIRECTOR","REP George Rivera","REP","1700","6110","22","7832","24","24","21216","0","4"
"SALISBURY SCHOOL DIRECTOR - 4YR","DAR Rebecca A Glenister","DAR","937","1624","12","2573","9","9","4374","0","4"
"SALISBURY SCHOOL DIRECTOR - 4YR","DAR Laura McKelvey","DAR","863","1850","10","2723","9","9","4374","0","4"
"SALISBURY SCHOOL DIRECTOR - 4YR","DAR Ian Riccaboni","DAR","851","1379","11","2241","9","9","4374","0","4"
"SALISBURY SCHOOL DIRECTOR - 4YR","DAR Joseph D Gnall","DAR","834","1617","8","2459","9","9","4374","0","4"
"SALISBURY SCHOOL DIRECTOR - 2YR","DEM Rebecca A Glenister","DEM","922","1478","11","2411","9","9","4374","0","1"
"SALISBURY SCHOOL DIRECTOR - 2YR","REP Laura McKelvey","REP","325","1444","4","1773","9","9","4374","0","1"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","DAR Kimberly Jaramillo","DAR","2072","2868","20","4960","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","DEM Josh Rager","DEM","2020","2598","19","4637","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","DEM Chris Sykora","DEM","2024","2596","16","4636","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","DEM Luis Melecio","DEM","1942","2458","16","4416","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","REP Christopher P Wayock","REP","707","3145","11","3863","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","REP Paul Deebel","REP","682","3134","10","3826","8","8","9141","0","4"
"SOUTHERN LEHIGH SCHOOL DIRECTOR","REP Stephen R Maund","REP","725","3147","10","3882","8","8","9141","0","4"
"WHITEHALL-COPLAY SCHOOL DIRECTOR","DAR George Williams","DAR","1551","2723","15","4289","14","14","7914","0","4"
"WHITEHALL-COPLAY SCHOOL DIRECTOR","DAR William Fonzone Sr","DAR","1521","2917","11","4449","14","14","7914","0","4"
"WHITEHALL-COPLAY SCHOOL DIRECTOR","DAR Joseph Shields","DAR","1421","2274","13","3708","14","14","7914","0","4"
"WHITEHALL-COPLAY SCHOOL DIRECTOR","DEM LoriAnn Fehnel","DEM","1313","2249","6","3568","14","14","7914","0","4"
"WHITEHALL-COPLAY SCHOOL DIRECTOR","REP Robert Falkenstein","REP","691","2629","8","3328","14","14","7914","0","4"
"JUDGE OF ELECTION - A11-5","REP Joe Facchiano","REP","28","128","0","156","1","1","298","0","1"
"JUDGE OF ELECTION - A11-7","DEM Steven E Kutz","DEM","75","205","2","282","1","1","386","0","1"
"JUDGE OF ELECTION - A13-2","DEM Nicholas Butterfield","DEM","44","120","1","165","1","1","200","0","1"
"JUDGE OF ELECTION - A15-1","DEM Sandra K Simon","DEM","73","174","0","247","1","1","335","0","1"
"JUDGE OF ELECTION - A17-4","DEM Keith B Wexler","DEM","411","544","5","960","2","2","1264","0","1"
"JUDGE OF ELECTION - A18-1","DEM Susanne Mayer Kusterer","DEM","86","248","7","341","1","1","429","0","1"
"JUDGE OF ELECTION - A19-4","DEM Danielle Wertz","DEM","54","121","1","176","1","1","230","0","1"
"JUDGE OF ELECTION - A19-5","REP Lori Lee Helman","REP","59","136","2","197","2","2","401","0","1"
"JUDGE OF ELECTION - B12-2","DEM Brooke S McDermott","DEM","92","279","1","372","1","1","440","0","1"
"JUDGE OF ELECTION - B13-8","REP Lucie Madawela","REP","122","139","0","261","1","1","530","0","1"
"JUDGE OF ELECTION - COOP","DEM Kat Moyer","DEM","148","380","4","532","1","1","889","0","1"
"JUDGE OF ELECTION - COOP","REP Rebecca Milford","REP","44","302","0","346","1","1","889","0","1"
"JUDGE OF ELECTION - COP2","DEM Bill Leiner Jr","DEM","90","289","0","379","1","1","527","0","1"
"JUDGE OF ELECTION - EMM2","REP Debra R Hoffman","REP","72","290","1","363","1","1","616","0","1"
"JUDGE OF ELECTION - EMM3","DEM Jonathan Harada","DEM","206","285","6","497","1","1","851","0","1"
"JUDGE OF ELECTION - EMM3","REP John F Belin Jr","REP","74","245","1","320","1","1","851","0","1"
"JUDGE OF ELECTION - EMM6","DEM Karen Haas","DEM","180","307","3","490","1","1","757","0","1"
"JUDGE OF ELECTION - EMM6","REP Erika Mahler","REP","38","201","0","239","1","1","757","0","1"
"JUDGE OF ELECTION - FH1","DEM Constance White Johnson","DEM","104","206","0","310","1","1","404","0","1"
"JUDGE OF ELECTION - HEI","REP Jane Wessner","REP","118","577","3","698","1","1","978","0","1"
"JUDGE OF ELECTION - LMAC2","REP John Kuczinski","REP","384","977","7","1368","1","1","2105","0","1"
"JUDGE OF ELECTION - LMAC4","REP Kathleen McGhee","REP","171","482","2","655","1","1","952","0","1"
"JUDGE OF ELECTION - LMAC6","REP Leslie Tobin Smeltz","REP","250","719","4","973","1","1","1560","0","1"
"JUDGE OF ELECTION - LMAC7","DEM Glenn Simmons","DEM","231","460","0","691","1","1","951","0","1"
"JUDGE OF ELECTION - LMILF","REP Angela Cougle","REP","242","858","2","1102","1","1","1607","0","1"
"JUDGE OF ELECTION - LOW","REP Michele Herman","REP","88","421","1","510","1","1","776","0","1"
"JUDGE OF ELECTION - LYNNL","REP Judith A Ritter","REP","31","193","0","224","1","1","295","0","1"
"JUDGE OF ELECTION - LYNNNT","REP Steve Schoeniger","REP","65","528","0","593","1","1","873","0","1"
"JUDGE OF ELECTION - NWHI1","DEM Susan L Williams","DEM","261","371","3","635","1","1","1327","0","1"
"JUDGE OF ELECTION - NWHI1","REP Susan Steigerwalt","REP","112","540","2","654","1","1","1327","0","1"
"JUDGE OF ELECTION - NWHI2","DEM Edward J Pullin","DEM","188","266","4","458","1","1","1022","0","1"
"JUDGE OF ELECTION - NWHI2","REP Joanne M Duke","REP","99","438","1","538","1","1","1022","0","1"
"JUDGE OF ELECTION - SAL2","DEM Todd Stevens","DEM","187","361","1","549","1","1","776","0","1"
"JUDGE OF ELECTION - SAL4-1","REP Kenneth Herr","REP","76","230","2","308","1","1","598","0","1"
"JUDGE OF ELECTION - SAL4-2","REP Richard L Schreiter","REP","46","174","0","220","1","1","384","0","1"
"JUDGE OF ELECTION - SAL5-2","REP Angelo Miele","REP","113","260","1","374","1","1","622","0","1"
"JUDGE OF ELECTION - SWHI4","REP Crystal J Davis","REP","110","277","3","390","1","1","597","0","1"
