Unofficial Election Results
LEHIGH
Contest Name,Candidate Name,Party,Mail Ballots Votes,Election Day Votes,Provisional Votes,Total Votes,Number Of Precincts,Precincts Reported,Ballots Cast,Under Votes,Vote For
"Total Precincts Reported","161"
"JUDGE OF THE SUPERIOR COURT","DEM Brandon Neuman","DEM","21315","34138","359","55812","161","161","95563","0","1"
"JUDGE OF THE SUPERIOR COURT","REP Maria Battista","REP","6681","29822","137","36640","161","161","95563","0","1"
"JUDGE OF THE SUPERIOR COURT","LBR Daniel Wassmer","LBR","536","1201","10","1747","161","161","95563","0","1"
"JUDGE OF THE COMMONWEALTH COURT","DEM Stella Tsai","DEM","21577","34844","371","56792","161","161","95563","0","1"
"JUDGE OF THE COMMONWEALTH COURT","REP Matt Wolford","REP","6951","30177","134","37262","161","161","95563","0","1"
"JUDGE OF THE COURT OF COMMON PLEAS","DEM Mark B Stanziola","DEM","21075","34082","364","55521","161","161","95563","0","1"
"JUDGE OF THE COURT OF COMMON PLEAS","REP Patricia Fuentes Mulqueen","REP","7376","30845","144","38365","161","161","95563","0","1"
"COUNTY EXECUTIVE","DEM Joshua Siegel","DEM","21651","34976","381","57008","161","161","95563","0","1"
"COUNTY EXECUTIVE","REP Roger MacLean","REP","6786","30016","130","36932","161","161","95563","0","1"
"COUNTY COMMISSIONER - DISTRICT 1","DAR Antonio Pineda","DAR","4628","11734","50","16412","32","32","21145","0","1"
"COUNTY COMMISSIONER - DISTRICT 2","DAR Ron W Beitler","DAR","7303","14113","103","21519","23","23","25738","0","1"
"COUNTY COMMISSIONER - DISTRICT 3","DEM Zachary Cole Borghi","DEM","2869","6177","57","9103","35","35","13464","0","1"
"COUNTY COMMISSIONER - DISTRICT 3","REP Jacqueline Rivera","REP","752","3250","19","4021","35","35","13464","0","1"
"COUNTY COMMISSIONER - DISTRICT 4","DEM Geoffrey Brace","DEM","4048","7097","74","11219","35","35","14881","0","1"
"COUNTY COMMISSIONER - DISTRICT 5","DEM Sarah Fevig","DEM","4582","7480","79","12141","36","36","20335","0","1"
"COUNTY COMMISSIONER - DISTRICT 5","REP Patrick M Leonard","REP","1454","6384","24","7862","36","36","20335","0","1"
